Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,WEST BENGAL,BIRBHUM,1.58,-,13.06,40.68514524
2018/06/30,WEST BENGAL,MURSHIDABAD,0.67,-,4.45,33.11951098
2018/06/30,WEST BENGAL,KOLKATA,7.86,-,62.07,37.64826303
2018/06/30,WEST BENGAL,HAORA,6.06,-,66.31,40.05133871
2018/06/30,WEST BENGAL,PASHCHIM MEDINIPUR,6.13,-,45.5,38.64463339
2018/06/30,WEST BENGAL,PURBA MEDINIPUR,1.53,-,14.26,41.94806704
2018/06/30,WEST BENGAL,BANKURA,6.43,-,46.37,37.9359965
2018/06/30,WEST BENGAL,HUGLI,1.63,-,17.47,44.04319025
2018/06/30,WEST BENGAL,UTTAR DINAJPUR,5.62,-,35.94,30.72706866
2018/06/30,WEST BENGAL,MALDAH,0.42,-,2.68,28.44294932
2018/06/30,WEST BENGAL,PURULIYA,7.87,-,50.58,37.08742339
2018/06/30,WEST BENGAL,DAKSHIN DINAJPUR,2.17,-,14.47,27.05250027
2018/06/30,WEST BENGAL,DARJILING,4.78,-,29.51,29.38330587
2018/06/30,WEST BENGAL,JALPAIGURI,13.44,-,84.83,41.02986052
2018/06/30,WEST BENGAL,NORTH 24 PARGANAS,3.02,-,23.53,38.65223603
2018/06/30,WEST BENGAL,NADIA,4.49,-,31.04,33.58822529
2018/06/30,WEST BENGAL,KOCH BIHAR,16.74,-,89.46,42.74821091
2018/06/30,WEST BENGAL,SOUTH 24 PARGANAS,3.35,-,30.63,38.21577936
2018/06/30,WEST BENGAL,BARDDHAMAN,3.48,-,24.09,39.6479986
2018/06/29,WEST BENGAL,BIRBHUM,1.79,-,14.64,43.33473449
2018/06/29,WEST BENGAL,MURSHIDABAD,0.73,-,4.88,35.24365686
2018/06/29,WEST BENGAL,KOLKATA,8.75,-,69.25,39.57301275
2018/06/29,WEST BENGAL,HAORA,6.22,-,67.66,41.64050592
2018/06/29,WEST BENGAL,PASHCHIM MEDINIPUR,6.49,-,48.26,39.88178862
2018/06/29,WEST BENGAL,PURBA MEDINIPUR,1.58,-,14.84,43.845761
2018/06/29,WEST BENGAL,BANKURA,7.22,-,52.03,40.39796295
2018/06/29,WEST BENGAL,HUGLI,1.68,-,17.83,45.39657201
2018/06/29,WEST BENGAL,UTTAR DINAJPUR,5.4,-,34.49,30.12742403
2018/06/29,WEST BENGAL,MALDAH,0.46,-,2.92,30.11821976
2018/06/29,WEST BENGAL,PURULIYA,8.69,-,56,39.38163548
2018/06/29,WEST BENGAL,DAKSHIN DINAJPUR,2.33,-,15.55,27.81249204
2018/06/29,WEST BENGAL,DARJILING,4.58,-,28.3,28.44000825
2018/06/29,WEST BENGAL,JALPAIGURI,12.36,-,78.01,38.97579582
2018/06/29,WEST BENGAL,NORTH 24 PARGANAS,3.28,-,25.54,40.32841499
2018/06/29,WEST BENGAL,NADIA,4.89,-,33.72,35.53790734
2018/06/29,WEST BENGAL,KOCH BIHAR,15.2,-,80.49,38.75615034
2018/06/29,WEST BENGAL,SOUTH 24 PARGANAS,3.75,-,34.27,39.98417918
2018/06/29,WEST BENGAL,BARDDHAMAN,3.82,-,26.39,42.06692658
2018/06/28,WEST BENGAL,BIRBHUM,1.86,-,15.19,44.44239181
2018/06/28,WEST BENGAL,MURSHIDABAD,0.75,-,4.96,36.78113255
2018/06/28,WEST BENGAL,KOLKATA,9.25,-,73.32,40.60005308
2018/06/28,WEST BENGAL,HAORA,6.27,-,68.08,42.39816352
2018/06/28,WEST BENGAL,PASHCHIM MEDINIPUR,7.08,-,52.59,41.89066062
2018/06/28,WEST BENGAL,PURBA MEDINIPUR,1.62,-,15.2,44.74395167
2018/06/28,WEST BENGAL,BANKURA,7.85,-,56.58,42.04677659
2018/06/28,WEST BENGAL,HUGLI,1.65,-,17.65,44.89228766
2018/06/28,WEST BENGAL,UTTAR DINAJPUR,5.78,-,36.96,31.94029797
2018/06/28,WEST BENGAL,MALDAH,0.66,-,4.24,32.68310808
2018/06/28,WEST BENGAL,PURULIYA,9.55,-,61.71,41.81249761
2018/06/28,WEST BENGAL,DAKSHIN DINAJPUR,2.75,-,18.32,30.21350155
2018/06/28,WEST BENGAL,DARJILING,4.78,-,29.51,28.54210688
2018/06/28,WEST BENGAL,JALPAIGURI,11.96,-,75.46,37.94203735
2018/06/28,WEST BENGAL,NORTH 24 PARGANAS,3.33,-,25.98,40.44391918
2018/06/28,WEST BENGAL,NADIA,5.1,-,35.1,36.82740986
2018/06/28,WEST BENGAL,KOCH BIHAR,15.79,-,83.82,40.20111464
2018/06/28,WEST BENGAL,SOUTH 24 PARGANAS,4.08,-,37.39,41.38447739
2018/06/28,WEST BENGAL,BARDDHAMAN,4.07,-,27.99,43.31651433
2018/06/27,WEST BENGAL,BIRBHUM,1.84,-,14.91,44.64243983
2018/06/27,WEST BENGAL,MURSHIDABAD,0.7,-,4.59,37.774625
2018/06/27,WEST BENGAL,KOLKATA,9.03,-,71.58,40.14713759
2018/06/27,WEST BENGAL,HAORA,6.29,-,68.27,42.63883492
2018/06/27,WEST BENGAL,PASHCHIM MEDINIPUR,7.25,-,53.92,42.44737601
2018/06/27,WEST BENGAL,PURBA MEDINIPUR,1.62,-,15.21,44.87392861
2018/06/27,WEST BENGAL,BANKURA,7.96,-,57.42,42.48952712
2018/06/27,WEST BENGAL,HUGLI,1.67,-,17.8,44.92902946
2018/06/27,WEST BENGAL,UTTAR DINAJPUR,6.09,-,38.89,32.78974488
2018/06/27,WEST BENGAL,MALDAH,0.44,-,2.77,31.07436058
2018/06/27,WEST BENGAL,PURULIYA,9.62,-,62.22,42.12831901
2018/06/27,WEST BENGAL,DAKSHIN DINAJPUR,2.34,-,15.63,28.17638138
2018/06/27,WEST BENGAL,DARJILING,5.25,-,32.44,29.05992128
2018/06/27,WEST BENGAL,JALPAIGURI,12.46,-,78.59,39.05507242
2018/06/27,WEST BENGAL,NORTH 24 PARGANAS,3.38,-,26.37,40.70149967
2018/06/27,WEST BENGAL,NADIA,5.36,-,36.84,38.43126782
2018/06/27,WEST BENGAL,KOCH BIHAR,16.54,-,88.15,42.17656654
2018/06/27,WEST BENGAL,SOUTH 24 PARGANAS,4.09,-,37.49,41.50532903
2018/06/27,WEST BENGAL,BARDDHAMAN,4.1,-,28.19,43.45691114
2018/06/26,WEST BENGAL,BIRBHUM,1.76,-,14.25,43.44022478
2018/06/26,WEST BENGAL,MURSHIDABAD,0.65,-,4.25,37.45749536
2018/06/26,WEST BENGAL,KOLKATA,9.33,-,73.99,40.77655192
2018/06/26,WEST BENGAL,HAORA,6.33,-,68.6,42.9604922
2018/06/26,WEST BENGAL,PASHCHIM MEDINIPUR,7.25,-,53.96,42.58115367
2018/06/26,WEST BENGAL,PURBA MEDINIPUR,1.63,-,15.28,45.09580982
2018/06/26,WEST BENGAL,BANKURA,7.93,-,57.15,42.52007258
2018/06/26,WEST BENGAL,HUGLI,1.69,-,17.96,45.62311567
2018/06/26,WEST BENGAL,UTTAR DINAJPUR,6.16,-,39.36,33.46276575
2018/06/26,WEST BENGAL,MALDAH,0.88,-,5.64,33.69002313
2018/06/26,WEST BENGAL,PURULIYA,9.5,-,61.31,41.7937129
2018/06/26,WEST BENGAL,DAKSHIN DINAJPUR,2.31,-,15.42,29.01625055
2018/06/26,WEST BENGAL,DARJILING,6.01,-,37.11,30.49689232
2018/06/26,WEST BENGAL,JALPAIGURI,12.76,-,80.51,39.62843113
2018/06/26,WEST BENGAL,NORTH 24 PARGANAS,3.43,-,26.74,41.28395325
2018/06/26,WEST BENGAL,NADIA,5.27,-,36.23,37.858197
2018/06/26,WEST BENGAL,KOCH BIHAR,16.46,-,87.61,41.992425
2018/06/26,WEST BENGAL,SOUTH 24 PARGANAS,4.17,-,38.15,41.8113248
2018/06/26,WEST BENGAL,BARDDHAMAN,4.09,-,28.04,43.39682501
2018/06/25,WEST BENGAL,BIRBHUM,1.74,-,14.06,43.55489985
2018/06/25,WEST BENGAL,MURSHIDABAD,0.59,-,3.89,36.88803281
2018/06/25,WEST BENGAL,KOLKATA,9.1,-,72.14,40.27445097
2018/06/25,WEST BENGAL,HAORA,6.3,-,68.3,42.73274156
2018/06/25,WEST BENGAL,PASHCHIM MEDINIPUR,6.97,-,52.02,42.31866084
2018/06/25,WEST BENGAL,PURBA MEDINIPUR,1.59,-,14.89,45.34349117
2018/06/25,WEST BENGAL,BANKURA,7.82,-,56.28,42.33613536
2018/06/25,WEST BENGAL,HUGLI,1.68,-,17.89,45.89377886
2018/06/25,WEST BENGAL,UTTAR DINAJPUR,5.98,-,38.2,33.22763136
2018/06/25,WEST BENGAL,MALDAH,0.31,-,1.98,28.86630465
2018/06/25,WEST BENGAL,PURULIYA,9.44,-,60.91,41.80799746
2018/06/25,WEST BENGAL,DAKSHIN DINAJPUR,2.29,-,15.3,27.60862653
2018/06/25,WEST BENGAL,DARJILING,7.11,-,43.77,32.94068169
2018/06/25,WEST BENGAL,JALPAIGURI,13.21,-,83.32,40.53413904
2018/06/25,WEST BENGAL,NORTH 24 PARGANAS,3.44,-,26.83,41.89038285
2018/06/25,WEST BENGAL,NADIA,5.68,-,38.85,39.84457248
2018/06/25,WEST BENGAL,KOCH BIHAR,16.63,-,88.71,42.42957787
2018/06/25,WEST BENGAL,SOUTH 24 PARGANAS,4.14,-,37.93,41.68923893
2018/06/25,WEST BENGAL,BARDDHAMAN,4.07,-,27.73,44.55925033
2018/06/24,WEST BENGAL,BIRBHUM,1.68,-,13.46,42.90019149
2018/06/24,WEST BENGAL,MURSHIDABAD,0.58,-,3.79,35.71699776
2018/06/24,WEST BENGAL,KOLKATA,9.08,-,71.99,40.21352186
2018/06/24,WEST BENGAL,HAORA,6.1,-,66.58,39.28815854
2018/06/24,WEST BENGAL,PASHCHIM MEDINIPUR,6.16,-,45.84,39.99900928
2018/06/24,WEST BENGAL,PURBA MEDINIPUR,1.06,-,9.51,41.79158045
2018/06/24,WEST BENGAL,BANKURA,7.52,-,53.94,41.48824216
2018/06/24,WEST BENGAL,HUGLI,1.38,-,14.82,41.52789477
2018/06/24,WEST BENGAL,UTTAR DINAJPUR,5.54,-,35.34,31.67121189
