Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,WEST BENGAL,BIRBHUM,0,557.93,0,24.09704378
2020/01/31,WEST BENGAL,MURSHIDABAD,0.07,609.62,0.42,22.42703545
2020/01/31,WEST BENGAL,KOLKATA,0.83,5.08,7.84,10.91445846
2020/01/31,WEST BENGAL,HAORA,0.99,183.2,10.69,24.84163294
2020/01/31,WEST BENGAL,PASHCHIM MEDINIPUR,0.01,1106.23,0.13,23.14710006
2020/01/31,WEST BENGAL,PURBA MEDINIPUR,0.02,646.9,0.2,31.36499744
2020/01/31,WEST BENGAL,BANKURA,0.01,638.81,0.08,18.04712715
2020/01/31,WEST BENGAL,HUGLI,0.02,451.72,0.18,28.19647746
2020/01/31,WEST BENGAL,UTTAR DINAJPUR,0,230.54,0,14.01550923
2020/01/31,WEST BENGAL,MALDAH,0.04,299.37,0.21,16.32990671
2020/01/31,WEST BENGAL,PURULIYA,0,423.84,0,13.32854692
2020/01/31,WEST BENGAL,DAKSHIN DINAJPUR,0,138.89,0,12.5693348
2020/01/31,WEST BENGAL,DARJILING,0,202.49,0,12.42297562
2020/01/31,WEST BENGAL,JALPAIGURI,0,340.9,0,10.73452924
2020/01/31,WEST BENGAL,NORTH 24 PARGANAS,0.1,437.63,0.99,14.7992544
2020/01/31,WEST BENGAL,NADIA,0,314.16,0,15.73946554
2020/01/31,WEST BENGAL,KOCH BIHAR,0,197.07,0,11.34010546
2020/01/31,WEST BENGAL,SOUTH 24 PARGANAS,0.05,501.15,0.45,17.63159651
2020/01/31,WEST BENGAL,BARDDHAMAN,0.03,743.2,0.17,20.76883544
2020/01/30,WEST BENGAL,BIRBHUM,0,561.12,0,24.23490041
2020/01/30,WEST BENGAL,MURSHIDABAD,0.09,618.15,0.57,22.74075883
2020/01/30,WEST BENGAL,KOLKATA,0.83,5.25,7.88,11.2672779
2020/01/30,WEST BENGAL,HAORA,1.03,191.06,11.26,25.90744897
2020/01/30,WEST BENGAL,PASHCHIM MEDINIPUR,0.01,1123.4,0.14,23.50631465
2020/01/30,WEST BENGAL,PURBA MEDINIPUR,0.02,658.94,0.2,31.9483306
2020/01/30,WEST BENGAL,BANKURA,0.01,643.25,0.08,18.17258974
2020/01/30,WEST BENGAL,HUGLI,0.02,456.19,0.18,28.47548005
2020/01/30,WEST BENGAL,UTTAR DINAJPUR,0,231.49,0,14.07278239
2020/01/30,WEST BENGAL,MALDAH,0.04,302.96,0.22,16.5258513
2020/01/30,WEST BENGAL,PURULIYA,0,428.36,0,13.47074355
2020/01/30,WEST BENGAL,DAKSHIN DINAJPUR,0,139.2,0,12.59766379
2020/01/30,WEST BENGAL,DARJILING,0,203.16,0,12.46415407
2020/01/30,WEST BENGAL,JALPAIGURI,0,342.23,0,10.77614392
2020/01/30,WEST BENGAL,NORTH 24 PARGANAS,0.1,445.65,1,15.07053384
2020/01/30,WEST BENGAL,NADIA,0,316.27,0,15.84484378
2020/01/30,WEST BENGAL,KOCH BIHAR,0,197.73,0,11.37781772
2020/01/30,WEST BENGAL,SOUTH 24 PARGANAS,0.05,507.57,0.46,17.85763677
2020/01/30,WEST BENGAL,BARDDHAMAN,0.03,746.93,0.18,20.87299553
2020/01/29,WEST BENGAL,BIRBHUM,0,563.01,0,24.31657031
2020/01/29,WEST BENGAL,MURSHIDABAD,0.43,647.07,2.75,23.80467575
2020/01/29,WEST BENGAL,KOLKATA,0.83,3.66,7.88,7.850662939
2020/01/29,WEST BENGAL,HAORA,0.89,201.85,9.94,27.37042859
2020/01/29,WEST BENGAL,PASHCHIM MEDINIPUR,0.03,1130.53,0.28,23.65555996
2020/01/29,WEST BENGAL,PURBA MEDINIPUR,0.03,634.56,0.32,30.76668115
2020/01/29,WEST BENGAL,BANKURA,0.01,647.48,0.08,18.29189864
2020/01/29,WEST BENGAL,HUGLI,0.02,438.13,0.18,27.34808974
2020/01/29,WEST BENGAL,UTTAR DINAJPUR,0,232.5,0,14.13447073
2020/01/29,WEST BENGAL,MALDAH,0.08,309.92,0.53,16.90523272
2020/01/29,WEST BENGAL,PURULIYA,0,429.16,0.01,13.49590354
2020/01/29,WEST BENGAL,DAKSHIN DINAJPUR,0,139.57,0,12.63040333
2020/01/29,WEST BENGAL,DARJILING,0,203.62,0,12.49269411
2020/01/29,WEST BENGAL,JALPAIGURI,0,340.64,0,10.72628194
2020/01/29,WEST BENGAL,NORTH 24 PARGANAS,0.1,416.04,1.01,14.06927461
2020/01/29,WEST BENGAL,NADIA,0,312.11,0,15.63651485
2020/01/29,WEST BENGAL,KOCH BIHAR,0,198.44,0,11.41869905
2020/01/29,WEST BENGAL,SOUTH 24 PARGANAS,0.05,487.82,0.46,17.16260288
2020/01/29,WEST BENGAL,BARDDHAMAN,0.03,741.53,0.18,20.72208721
2020/01/28,WEST BENGAL,BIRBHUM,0,537.92,0,23.23280984
2020/01/28,WEST BENGAL,MURSHIDABAD,0.01,529.01,0.04,19.46170657
2020/01/28,WEST BENGAL,KOLKATA,0.84,3.93,7.92,8.440832331
2020/01/28,WEST BENGAL,HAORA,0.07,123.04,0.77,16.68371206
2020/01/28,WEST BENGAL,PASHCHIM MEDINIPUR,0.02,927.78,0.15,19.41314256
2020/01/28,WEST BENGAL,PURBA MEDINIPUR,0,515.93,0.04,25.01470317
2020/01/28,WEST BENGAL,BANKURA,0.01,664.24,0.08,18.7655395
2020/01/28,WEST BENGAL,HUGLI,0,405.98,0.01,25.34142019
2020/01/28,WEST BENGAL,UTTAR DINAJPUR,0,233.2,0,14.17710999
2020/01/28,WEST BENGAL,MALDAH,0.02,241.94,0.09,13.19743157
2020/01/28,WEST BENGAL,PURULIYA,0,437.72,0.01,13.76488556
2020/01/28,WEST BENGAL,DAKSHIN DINAJPUR,0,139.58,0,12.63142821
2020/01/28,WEST BENGAL,DARJILING,0,204.14,0,12.52420929
2020/01/28,WEST BENGAL,JALPAIGURI,0,342.42,0,10.78232401
2020/01/28,WEST BENGAL,NORTH 24 PARGANAS,0.1,402.87,1.03,13.6239597
2020/01/28,WEST BENGAL,NADIA,0,300.89,0,15.07437024
2020/01/28,WEST BENGAL,KOCH BIHAR,0,198.8,0,11.43938095
2020/01/28,WEST BENGAL,SOUTH 24 PARGANAS,0.05,489.02,0.48,17.20503268
2020/01/28,WEST BENGAL,BARDDHAMAN,0.03,745.68,0.18,20.83823329
2020/01/27,WEST BENGAL,BIRBHUM,0,527.58,0,22.78626818
2020/01/27,WEST BENGAL,MURSHIDABAD,0.01,508.73,0.05,18.71551693
2020/01/27,WEST BENGAL,KOLKATA,0.84,3.59,7.96,7.707284283
2020/01/27,WEST BENGAL,HAORA,0.01,109.75,0.12,14.88152118
2020/01/27,WEST BENGAL,PASHCHIM MEDINIPUR,0.02,844.72,0.15,17.67512583
2020/01/27,WEST BENGAL,PURBA MEDINIPUR,0,468.74,0,22.72694941
2020/01/27,WEST BENGAL,BANKURA,0.01,628,0.08,17.74167338
2020/01/27,WEST BENGAL,HUGLI,0,394.82,0,24.64435517
2020/01/27,WEST BENGAL,UTTAR DINAJPUR,0,234.39,0,14.24917104
2020/01/27,WEST BENGAL,MALDAH,0.02,242.44,0.09,13.22431152
2020/01/27,WEST BENGAL,PURULIYA,0,401.37,0.01,12.62181624
2020/01/27,WEST BENGAL,DAKSHIN DINAJPUR,0,140,0,12.66949938
2020/01/27,WEST BENGAL,DARJILING,0,204.62,0,12.55379492
2020/01/27,WEST BENGAL,JALPAIGURI,0,342.74,0,10.79222066
2020/01/27,WEST BENGAL,NORTH 24 PARGANAS,0.1,384.83,1.04,13.01378705
2020/01/27,WEST BENGAL,NADIA,0,286.74,0,14.36562023
2020/01/27,WEST BENGAL,KOCH BIHAR,0,199.39,0,11.47312235
2020/01/27,WEST BENGAL,SOUTH 24 PARGANAS,0.05,455.15,0.48,16.01312763
2020/01/27,WEST BENGAL,BARDDHAMAN,0.03,719.66,0.19,20.1111606
2020/01/26,WEST BENGAL,BIRBHUM,0,529.98,0,22.89001083
2020/01/26,WEST BENGAL,MURSHIDABAD,0.01,510.63,0.05,18.78547534
2020/01/26,WEST BENGAL,KOLKATA,0.84,3.74,7.96,8.037098222
2020/01/26,WEST BENGAL,HAORA,0.02,111.18,0.14,15.0754116
2020/01/26,WEST BENGAL,PASHCHIM MEDINIPUR,0.02,849.93,0.16,17.78415146
2020/01/26,WEST BENGAL,PURBA MEDINIPUR,0,471.63,0,22.86668842
2020/01/26,WEST BENGAL,BANKURA,0.01,633.71,0.08,17.90306288
2020/01/26,WEST BENGAL,HUGLI,0,397.24,0,24.79568546
2020/01/26,WEST BENGAL,UTTAR DINAJPUR,0,235.41,0,14.31134516
2020/01/26,WEST BENGAL,MALDAH,0.02,243.41,0.1,13.27745584
2020/01/26,WEST BENGAL,PURULIYA,0,406.71,0.01,12.78966236
2020/01/26,WEST BENGAL,DAKSHIN DINAJPUR,0,140.41,0,12.70656284
2020/01/26,WEST BENGAL,DARJILING,0,205.31,0,12.59592259
2020/01/26,WEST BENGAL,JALPAIGURI,0,344.13,0,10.83619737
2020/01/26,WEST BENGAL,NORTH 24 PARGANAS,0.11,392.14,1.06,13.26119324
2020/01/26,WEST BENGAL,NADIA,0,288.26,0,14.44162856
2020/01/26,WEST BENGAL,KOCH BIHAR,0,200.11,0,11.51502279
2020/01/26,WEST BENGAL,SOUTH 24 PARGANAS,0.05,461.68,0.49,16.24307842
2020/01/26,WEST BENGAL,BARDDHAMAN,0.03,723.41,0.19,20.21590421
2020/01/25,WEST BENGAL,BIRBHUM,0,531.12,0.01,22.9392816
2020/01/25,WEST BENGAL,MURSHIDABAD,0.01,512.05,0.05,18.8377349
2020/01/25,WEST BENGAL,KOLKATA,0.85,3.91,8,8.398757253
2020/01/25,WEST BENGAL,HAORA,0.02,113.43,0.15,15.38118635
2020/01/25,WEST BENGAL,PASHCHIM MEDINIPUR,0.02,854.09,0.17,17.87119528
2020/01/25,WEST BENGAL,PURBA MEDINIPUR,0,476.35,0,23.09592191
2020/01/25,WEST BENGAL,BANKURA,0.01,637.56,0.08,18.0117333
2020/01/25,WEST BENGAL,HUGLI,0,399.51,0.01,24.93741457
2020/01/25,WEST BENGAL,UTTAR DINAJPUR,0,236.41,0,14.37189144
2020/01/25,WEST BENGAL,MALDAH,0.02,244.16,0.1,13.31825705
2020/01/25,WEST BENGAL,PURULIYA,0,410.77,0.01,12.91734163
2020/01/25,WEST BENGAL,DAKSHIN DINAJPUR,0,140.75,0,12.73784679
2020/01/25,WEST BENGAL,DARJILING,0,205.7,0,12.62026018
2020/01/25,WEST BENGAL,JALPAIGURI,0,345.36,0,10.87472134
2020/01/25,WEST BENGAL,NORTH 24 PARGANAS,0.11,398.37,1.07,13.47171934
2020/01/25,WEST BENGAL,NADIA,0,289.62,0,14.50958234
2020/01/25,WEST BENGAL,KOCH BIHAR,0,200.9,0,11.5602045
2020/01/25,WEST BENGAL,SOUTH 24 PARGANAS,0.05,471.09,0.5,16.57398522
2020/01/25,WEST BENGAL,BARDDHAMAN,0.03,725.77,0.19,20.28192463
2020/01/24,WEST BENGAL,BIRBHUM,0,533.45,0.01,23.03994058
2020/01/24,WEST BENGAL,MURSHIDABAD,0.01,513.59,0.05,18.89439226
2020/01/24,WEST BENGAL,KOLKATA,0.85,4.04,8.04,8.679213398
2020/01/24,WEST BENGAL,HAORA,0.02,114.75,0.17,15.56052961
2020/01/24,WEST BENGAL,PASHCHIM MEDINIPUR,0.02,858.7,0.17,17.96777923
2020/01/24,WEST BENGAL,PURBA MEDINIPUR,0,479.36,0,23.2416852
2020/01/24,WEST BENGAL,BANKURA,0.01,642.74,0.08,18.15796752
2020/01/24,WEST BENGAL,HUGLI,0,401.9,0.01,25.08668893
2020/01/24,WEST BENGAL,UTTAR DINAJPUR,0,237.55,0,14.44143931
2020/01/24,WEST BENGAL,MALDAH,0.02,244.97,0.1,13.36235686
2020/01/24,WEST BENGAL,PURULIYA,0,415.97,0.01,13.08086554
2020/01/24,WEST BENGAL,DAKSHIN DINAJPUR,0,141.19,0,12.7772764
2020/01/24,WEST BENGAL,DARJILING,0,206.31,0,12.65726512
2020/01/24,WEST BENGAL,JALPAIGURI,0,346.57,0,10.91290929
2020/01/24,WEST BENGAL,NORTH 24 PARGANAS,0.11,405.75,1.1,13.72132946
2020/01/24,WEST BENGAL,NADIA,0,291,0,14.5788255
2020/01/24,WEST BENGAL,KOCH BIHAR,0,201.58,0,11.59938804
2020/01/24,WEST BENGAL,SOUTH 24 PARGANAS,0.06,477.77,0.51,16.80900991
2020/01/24,WEST BENGAL,BARDDHAMAN,0.03,729.53,0.19,20.38675276
2020/01/23,WEST BENGAL,BIRBHUM,0,535.83,0.01,23.14275074
