timestamp,region_name,temperature_current,temperature_min,temperature_max,temperature_growing_degree_days,humidity_relative_humidity,humidity_pressure,precipitation_rain_1h,precipitation_rain_3h,wind_speed,wind_gust,wind_degree,cloud_cover,weather_main,weather_description,extreme_weather_is_rainy,extreme_weather_is_thunderstorm,extreme_weather_is_clear,extreme_weather_is_cloudy
2023-11-13 18:02:20.800222,Delhi NCR,11.77,19.72,40.35,13.34,60,1017.26,0.93,2.64,4.82,7.98,137,14,Thunderstorm,few clouds,True,False,True,True
2023-11-14 18:02:20.800222,Delhi NCR,34.74,14.48,29.99,7.1,59,1018.67,0.86,0.07,5.91,7.66,79,24,Clouds,rain,True,False,False,False
2023-11-15 18:02:20.800222,Delhi NCR,26.77,27.85,14.17,25.9,68,1013.98,6.54,3.43,1.99,20.66,143,55,Rain,broken clouds,False,False,True,True
2023-11-16 18:02:20.800222,Delhi NCR,39.56,19.24,35.79,16.56,70,1017.45,1.02,0.0,6.23,10.3,332,85,Rain,rain,False,False,False,True
2023-11-17 18:02:20.800222,Delhi NCR,17.25,19.58,20.62,22.52,53,1035.05,0.19,1.17,2.27,10.3,25,65,Clouds,clear sky,True,False,False,True
2023-11-18 18:02:20.800222,Delhi NCR,33.81,23.91,22.94,16.1,81,1008.51,0.92,0.03,4.36,8.89,265,92,Clouds,thunderstorm,True,False,False,True
2023-11-19 18:02:20.800222,Delhi NCR,28.83,26.9,27.9,9.56,54,1010.39,1.15,0.32,2.23,0.56,174,54,Thunderstorm,rain,False,False,True,False
2023-11-20 18:02:20.800222,Delhi NCR,26.01,19.41,38.49,13.14,64,1003.16,1.83,1.34,4.39,0.8,267,49,Clouds,broken clouds,False,False,False,False
2023-11-21 18:02:20.800222,Delhi NCR,22.19,19.01,36.75,6.06,59,1004.89,2.12,2.64,2.94,2.15,282,0,Clouds,clear sky,True,False,True,False
2023-11-22 18:02:20.800222,Delhi NCR,21.73,21.62,34.79,14.49,75,1008.05,4.07,0.33,0.64,2.15,188,57,Clouds,rain,False,False,False,False
2023-11-23 18:02:20.800222,Delhi NCR,34.18,9.87,29.13,4.56,66,1024.02,2.74,1.83,5.1,5.28,158,51,Clouds,light rain,True,True,True,True
2023-11-24 18:02:20.800222,Delhi NCR,35.85,13.34,34.46,6.61,75,1018.68,0.86,0.77,3.34,4.3,3,67,Clear,scattered clouds,True,False,False,False
2023-11-25 18:02:20.800222,Delhi NCR,16.42,25.55,30.08,34.21,76,1011.17,3.47,1.64,4.98,5.93,253,71,Clouds,rain,True,False,True,True
2023-11-26 18:02:20.800222,Delhi NCR,27.32,23.09,35.36,23.79,84,1019.61,1.22,1.63,1.0,6.74,285,9,Clear,rain,False,False,False,True
2023-11-27 18:02:20.800222,Delhi NCR,18.91,11.82,30.58,13.0,76,1017.09,1.18,1.5,1.82,3.9,128,65,Rain,light rain,False,False,False,True
2023-11-28 18:02:20.800222,Delhi NCR,31.44,17.07,35.93,24.67,38,1028.98,0.32,1.97,6.26,3.3,145,41,Clouds,broken clouds,False,False,False,False
2023-11-29 18:02:20.800222,Delhi NCR,17.24,17.73,37.85,19.3,69,1015.34,0.45,0.98,2.31,3.59,234,60,Clouds,scattered clouds,False,False,False,False
2023-11-30 18:02:20.800222,Delhi NCR,20.08,10.38,39.08,22.07,59,1005.94,1.61,0.2,4.02,7.05,261,80,Thunderstorm,light rain,False,False,False,True
