timestamp,region_name,temperature_current,temperature_min,temperature_max,temperature_growing_degree_days,humidity_relative_humidity,humidity_pressure,precipitation_rain_1h,precipitation_rain_3h,wind_speed,wind_gust,wind_degree,cloud_cover,weather_main,weather_description,extreme_weather_is_rainy,extreme_weather_is_thunderstorm,extreme_weather_is_clear,extreme_weather_is_cloudy
2023-11-13 18:02:20.893723,Haryana,35.02,20.62,34.67,29.3,74,1021.4,5.09,0.13,2.83,4.28,196,63,Thunderstorm,thunderstorm,True,False,True,False
2023-11-14 18:02:20.893723,Haryana,19.54,20.01,31.08,8.07,60,1010.21,0.03,1.36,2.66,4.24,245,47,Clear,thunderstorm,False,False,False,True
2023-11-15 18:02:20.893723,Haryana,31.96,27.01,31.2,18.03,68,1019.2,6.42,0.66,5.52,4.22,81,23,Clouds,clear sky,False,False,True,True
2023-11-16 18:02:20.893723,Haryana,32.61,22.22,31.53,15.8,81,1009.99,0.47,0.11,1.06,3.27,245,49,Clouds,broken clouds,False,False,False,True
2023-11-17 18:02:20.893723,Haryana,21.36,17.72,34.39,12.26,58,1002.97,0.03,0.61,4.3,1.58,161,66,Thunderstorm,rain,False,False,False,True
2023-11-18 18:02:20.893723,Haryana,24.37,15.75,24.28,17.53,25,1002.61,1.06,0.27,2.92,8.67,223,89,Clouds,thunderstorm,True,False,False,True
2023-11-19 18:02:20.893723,Haryana,20.22,20.09,31.34,9.21,79,1017.3,0.48,0.13,8.6,3.07,211,41,Thunderstorm,thunderstorm,False,False,True,True
2023-11-20 18:02:20.893723,Haryana,28.79,16.68,35.06,14.42,56,1018.32,1.48,0.2,2.67,8.0,0,86,Clear,rain,True,False,True,True
2023-11-21 18:02:20.893723,Haryana,16.25,18.41,33.43,28.73,66,1018.75,1.37,1.37,5.11,5.03,227,55,Clear,few clouds,False,False,False,True
2023-11-22 18:02:20.893723,Haryana,17.16,15.45,22.09,1.12,66,1006.04,0.24,2.73,4.11,9.19,102,60,Rain,thunderstorm,False,False,False,True
2023-11-23 18:02:20.893723,Haryana,24.19,13.65,32.04,26.16,50,1006.73,0.33,0.07,3.02,9.69,166,27,Rain,broken clouds,True,False,False,True
2023-11-24 18:02:20.893723,Haryana,26.16,16.57,30.3,20.26,51,1006.8,2.47,9.85,7.66,1.25,100,44,Rain,rain,False,False,True,True
2023-11-25 18:02:20.893723,Haryana,27.38,17.72,32.02,21.32,81,1030.68,0.86,0.48,3.03,16.01,180,82,Clouds,clear sky,False,False,False,False
2023-11-26 18:02:20.893723,Haryana,25.75,29.67,22.18,28.79,100,1016.72,1.22,5.52,7.67,0.38,140,12,Clear,thunderstorm,True,False,True,True
2023-11-27 18:02:20.893723,Haryana,29.19,32.61,29.42,23.82,61,1010.72,7.53,0.99,0.95,11.79,333,23,Clear,few clouds,False,False,False,False
