timestamp,region_name,temperature_current,temperature_min,temperature_max,temperature_growing_degree_days,humidity_relative_humidity,humidity_pressure,precipitation_rain_1h,precipitation_rain_3h,wind_speed,wind_gust,wind_degree,cloud_cover,weather_main,weather_description,extreme_weather_is_rainy,extreme_weather_is_thunderstorm,extreme_weather_is_clear,extreme_weather_is_cloudy
2023-11-13 18:02:20.918697,Karnataka,31.31,14.47,30.69,13.63,53,1033.38,1.27,2.47,3.4,3.66,93,65,Clear,rain,True,False,False,False
2023-11-14 18:02:20.918697,Karnataka,28.2,14.97,37.32,27.51,40,981.42,3.79,0.9,1.1,2.34,248,0,Rain,rain,True,False,True,False
2023-11-15 18:02:20.918697,Karnataka,22.19,8.44,30.93,7.69,45,1003.78,1.61,3.08,5.04,0.84,227,36,Clouds,light rain,False,False,True,False
2023-11-16 18:02:20.918697,Karnataka,31.73,22.08,40.28,15.44,80,1025.29,1.95,0.82,5.84,2.44,224,42,Thunderstorm,rain,False,False,False,False
2023-11-17 18:02:20.918697,Karnataka,31.64,19.12,30.75,15.36,45,1027.73,2.13,0.74,8.48,3.63,316,17,Rain,light rain,True,False,True,False
2023-11-18 18:02:20.918697,Karnataka,24.64,15.14,42.26,13.62,44,1022.57,0.85,1.99,2.12,8.1,355,100,Clouds,clear sky,True,False,False,True
2023-11-19 18:02:20.918697,Karnataka,19.93,14.43,32.92,18.12,86,1028.8,0.43,0.14,3.6,7.46,195,56,Rain,few clouds,False,False,True,True
2023-11-20 18:02:20.918697,Karnataka,44.78,14.04,29.37,16.46,58,1022.32,0.34,1.74,5.03,0.44,334,64,Thunderstorm,few clouds,True,False,False,False
2023-11-21 18:02:20.918697,Karnataka,30.27,26.75,28.15,10.5,51,1011.98,1.23,1.0,10.26,2.39,131,15,Thunderstorm,scattered clouds,False,False,False,True
2023-11-22 18:02:20.918697,Karnataka,23.06,29.5,24.08,11.04,100,1018.63,0.91,4.74,7.02,0.56,57,24,Clear,rain,False,False,True,True
2023-11-23 18:02:20.918697,Karnataka,19.35,22.7,32.91,21.71,50,1024.35,0.51,2.77,2.36,3.79,340,2,Clouds,broken clouds,False,False,True,True
2023-11-24 18:02:20.918697,Karnataka,14.15,27.9,39.08,7.96,73,1003.3,0.73,5.97,0.28,2.77,325,43,Clear,broken clouds,False,False,False,False
2023-11-25 18:02:20.918697,Karnataka,40.49,28.66,24.03,23.07,70,1016.24,6.46,1.9,5.06,2.28,185,11,Rain,scattered clouds,False,False,False,True
2023-11-26 18:02:20.918697,Karnataka,33.12,26.95,28.16,0.0,62,1016.71,2.69,0.5,0.56,6.49,346,3,Rain,scattered clouds,False,False,False,False
2023-11-27 18:02:20.918697,Karnataka,33.24,22.03,40.33,8.46,41,1022.04,0.81,3.81,1.59,3.66,252,0,Clouds,few clouds,False,False,False,False
2023-11-28 18:02:20.918697,Karnataka,29.17,22.32,29.66,21.92,74,1010.05,0.7,1.29,8.09,3.04,107,52,Thunderstorm,light rain,False,False,True,True
2023-11-29 18:02:20.918697,Karnataka,14.29,33.32,31.78,24.4,74,1029.88,6.01,2.74,2.73,3.19,98,73,Clear,scattered clouds,True,False,False,False
2023-11-30 18:02:20.918697,Karnataka,20.72,14.52,48.1,20.69,69,1002.86,2.1,2.78,4.13,7.09,158,70,Thunderstorm,few clouds,False,False,False,True
2023-12-01 18:02:20.918697,Karnataka,29.07,18.45,33.52,9.17,85,1008.28,1.15,5.06,2.3,1.31,256,0,Clouds,broken clouds,True,False,False,False
2023-12-02 18:02:20.918697,Karnataka,32.61,22.79,15.0,29.71,46,995.45,1.41,0.95,0.34,4.39,346,53,Clouds,few clouds,False,False,False,False
2023-12-03 18:02:20.918697,Karnataka,21.78,17.64,31.75,26.17,84,1012.49,0.84,0.24,6.86,6.45,319,50,Rain,clear sky,False,False,False,False
2023-12-04 18:02:20.918697,Karnataka,30.51,17.67,33.48,18.93,60,1003.44,0.02,1.38,4.02,0.99,309,82,Clouds,clear sky,False,False,False,False
2023-12-05 18:02:20.918697,Karnataka,22.88,33.39,27.96,22.85,74,1001.84,1.07,0.82,2.9,4.52,239,96,Thunderstorm,clear sky,False,False,False,False
2023-12-06 18:02:20.918697,Karnataka,25.65,3.87,31.69,29.47,73,1000.57,0.0,1.92,1.28,2.48,280,72,Clouds,light rain,False,False,True,False
2023-12-07 18:02:20.918697,Karnataka,43.0,13.02,35.97,27.3,74,1009.09,5.52,0.13,6.85,4.7,107,6,Clouds,broken clouds,True,False,True,True
2023-12-08 18:02:20.918697,Karnataka,19.2,23.95,33.44,16.48,69,1003.03,0.6,2.09,10.24,3.38,113,73,Clear,clear sky,True,False,False,True
2023-12-09 18:02:20.918697,Karnataka,20.17,6.7,38.82,37.56,89,1009.85,1.04,5.47,5.31,1.19,103,19,Rain,clear sky,False,False,False,False
2023-12-10 18:02:20.918697,Karnataka,31.26,13.97,44.3,26.99,83,1003.04,0.75,2.56,5.43,2.4,203,40,Rain,thunderstorm,False,False,False,False
2023-12-11 18:02:20.918697,Karnataka,27.25,24.18,36.6,8.92,30,1017.74,1.28,2.09,2.76,4.55,12,79,Rain,light rain,False,False,True,True
2023-12-12 18:02:20.918697,Karnataka,23.49,18.15,38.36,13.17,42,993.57,0.43,0.03,1.38,8.78,243,73,Thunderstorm,broken clouds,False,False,True,False
2023-12-13 18:02:20.918697,Karnataka,17.68,19.81,29.72,0.0,57,1000.68,1.27,0.61,1.93,4.22,301,83,Rain,broken clouds,False,False,False,True
2023-12-14 18:02:20.918697,Karnataka,20.84,22.67,25.78,19.9,87,1002.92,0.24,0.46,11.61,5.72,29,39,Rain,light rain,True,False,False,False
2023-12-15 18:02:20.918697,Karnataka,25.69,14.19,28.92,16.04,79,1013.06,0.1,1.84,1.27,1.0,245,88,Clouds,light rain,False,True,True,True
2023-12-16 18:02:20.918697,Karnataka,31.11,14.95,29.21,22.49,66,1013.6,0.24,0.78,4.06,2.8,254,67,Clouds,few clouds,False,True,True,False
2023-12-17 18:02:20.918697,Karnataka,24.04,13.86,37.38,21.14,58,1008.11,1.12,3.67,11.7,0.73,187,83,Thunderstorm,few clouds,False,False,False,False
2023-12-18 18:02:20.918697,Karnataka,16.28,12.87,44.74,7.91,67,1018.46,1.64,4.62,1.5,5.78,145,100,Rain,rain,False,False,True,False
2023-12-19 18:02:20.918697,Karnataka,8.77,16.72,33.85,13.95,64,1006.54,3.92,0.25,0.78,2.55,229,80,Clear,light rain,False,False,False,False
2023-12-20 18:02:20.918697,Karnataka,13.34,20.76,28.09,21.19,76,1012.97,0.13,1.52,3.97,12.74,17,54,Clouds,clear sky,False,False,False,True
2023-12-21 18:02:20.918697,Karnataka,23.95,19.64,28.94,26.18,41,1001.68,1.21,3.49,1.76,1.07,18,0,Rain,scattered clouds,False,False,True,True
2023-12-22 18:02:20.918697,Karnataka,16.69,22.44,40.04,17.49,47,1013.71,0.58,9.13,1.58,8.13,143,58,Clear,clear sky,False,False,False,True
2023-12-23 18:02:20.918697,Karnataka,15.75,25.52,33.27,24.7,65,1010.14,0.65,6.46,5.35,1.0,7,48,Rain,broken clouds,True,False,False,False
2023-12-24 18:02:20.918697,Karnataka,25.67,20.95,21.29,20.25,53,1009.64,1.81,0.19,4.14,4.41,335,100,Clouds,rain,True,False,True,True
2023-12-25 18:02:20.918697,Karnataka,25.11,25.41,30.38,18.61,47,1004.42,1.95,0.72,3.65,4.08,322,43,Clear,few clouds,False,False,False,True
2023-12-26 18:02:20.918697,Karnataka,27.55,21.63,31.32,8.81,35,1030.42,3.81,0.3,6.85,4.38,27,28,Clouds,light rain,False,False,False,False
2023-12-27 18:02:20.918697,Karnataka,8.83,18.08,25.81,2.27,62,1016.81,1.0,0.61,6.6,7.31,194,20,Rain,thunderstorm,False,False,False,False
2023-12-28 18:02:20.918697,Karnataka,28.36,22.91,44.59,13.41,50,1017.95,1.42,0.34,7.31,4.95,229,88,Thunderstorm,broken clouds,True,False,False,True
2023-12-29 18:02:20.918697,Karnataka,35.28,32.35,35.16,22.85,64,1018.41,1.84,6.05,5.39,6.95,114,32,Rain,few clouds,False,False,False,False
2023-12-30 18:02:20.918697,Karnataka,24.07,19.95,27.32,18.64,56,1007.01,0.4,0.2,1.82,1.12,292,22,Rain,few clouds,True,True,False,False
2023-12-31 18:02:20.918697,Karnataka,39.99,27.12,30.37,18.5,65,1013.64,2.04,3.93,3.87,4.09,33,41,Rain,few clouds,True,False,False,True
2024-01-01 18:02:20.918697,Karnataka,19.55,16.99,29.49,17.94,81,1015.01,2.64,0.99,1.69,3.81,81,0,Clouds,few clouds,False,False,True,True
2024-01-02 18:02:20.918697,Karnataka,16.84,27.45,33.1,3.47,61,1024.42,0.07,0.31,2.15,2.51,292,15,Rain,broken clouds,True,False,False,False
2024-01-03 18:02:20.918697,Karnataka,30.23,20.19,34.81,24.97,56,1011.98,1.42,1.59,1.3,9.03,353,26,Clouds,thunderstorm,False,False,False,True
2024-01-04 18:02:20.918697,Karnataka,29.07,12.16,33.27,26.12,71,995.45,0.21,1.09,2.26,3.61,110,36,Thunderstorm,rain,False,True,True,True
2024-01-05 18:02:20.918697,Karnataka,14.18,29.23,36.11,17.78,48,1029.05,1.27,0.4,5.23,7.68,300,29,Clear,scattered clouds,True,False,False,False
2024-01-06 18:02:20.918697,Karnataka,30.05,11.74,43.06,6.73,51,1011.7,0.06,0.96,3.29,3.04,352,60,Clouds,broken clouds,True,True,True,False
2024-01-07 18:02:20.918697,Karnataka,32.01,22.35,39.13,15.89,40,1015.81,0.6,0.38,6.43,9.06,24,7,Thunderstorm,scattered clouds,False,False,True,False
2024-01-08 18:02:20.918697,Karnataka,22.58,19.06,30.69,13.5,62,1026.51,7.71,2.34,3.55,5.18,56,27,Clouds,clear sky,True,False,False,False
2024-01-09 18:02:20.918697,Karnataka,17.5,25.9,24.98,30.91,73,1020.72,0.0,0.25,2.67,2.64,100,66,Clear,scattered clouds,True,False,False,True
2024-01-10 18:02:20.918697,Karnataka,15.65,13.87,26.92,0.0,59,1006.46,0.4,0.05,9.82,3.59,18,47,Clouds,broken clouds,False,True,False,False
2024-01-11 18:02:20.918697,Karnataka,27.82,16.91,43.47,6.93,59,1016.35,0.8,2.22,5.99,16.73,286,21,Clouds,scattered clouds,False,False,True,False
2024-01-12 18:02:20.918697,Karnataka,29.64,31.45,18.17,4.79,75,997.63,0.59,0.67,1.48,4.48,319,73,Rain,broken clouds,False,False,True,False
2024-01-13 18:02:20.918697,Karnataka,34.45,14.13,30.39,28.61,70,1009.65,1.76,0.56,2.07,6.58,343,19,Rain,broken clouds,False,False,False,False
2024-01-14 18:02:20.918697,Karnataka,28.09,22.79,34.62,26.64,45,1018.58,0.71,0.88,4.92,7.86,108,19,Clouds,broken clouds,True,True,False,False
2024-01-15 18:02:20.918697,Karnataka,20.83,18.56,26.97,20.95,49,1027.0,0.46,3.92,2.72,2.73,27,80,Thunderstorm,light rain,False,True,False,True
2024-01-16 18:02:20.918697,Karnataka,11.55,18.3,25.99,31.94,36,1013.06,3.24,0.81,12.86,8.88,75,86,Rain,clear sky,True,False,False,True
2024-01-17 18:02:20.918697,Karnataka,16.9,14.39,33.8,12.0,40,1010.05,0.1,0.84,4.42,1.71,139,21,Clouds,broken clouds,False,False,True,True
2024-01-18 18:02:20.918697,Karnataka,23.49,21.11,49.39,9.46,62,993.38,0.94,0.52,2.28,3.53,257,55,Clouds,clear sky,True,False,False,False
2024-01-19 18:02:20.918697,Karnataka,27.56,29.42,33.17,25.9,59,1013.87,0.06,0.09,6.25,3.77,102,41,Rain,broken clouds,False,False,True,True
2024-01-20 18:02:20.918697,Karnataka,16.35,26.03,25.78,10.5,47,990.89,0.12,4.89,2.67,5.63,33,18,Clouds,clear sky,False,False,True,True
2024-01-21 18:02:20.918697,Karnataka,19.55,26.83,25.92,13.08,76,1021.48,3.28,5.53,1.26,9.94,223,92,Clouds,rain,True,False,True,True
2024-01-22 18:02:20.918697,Karnataka,32.65,17.73,22.13,15.86,42,1007.07,0.96,2.39,0.61,3.6,0,72,Rain,few clouds,False,True,True,False
2024-01-23 18:02:20.918697,Karnataka,17.39,19.17,26.96,10.95,55,1014.78,2.92,0.37,1.72,1.3,71,22,Clouds,few clouds,False,False,True,True
2024-01-24 18:02:20.918697,Karnataka,13.88,10.8,24.92,10.57,63,1007.96,0.25,0.16,7.67,0.6,242,81,Clouds,broken clouds,False,False,True,True
2024-01-25 18:02:20.918697,Karnataka,28.35,21.95,30.93,23.73,63,1012.57,0.47,0.58,3.08,4.97,10,0,Clouds,broken clouds,False,False,True,False
2024-01-26 18:02:20.918697,Karnataka,20.14,11.36,30.87,4.16,58,1015.21,0.05,4.91,3.53,5.55,7,32,Rain,rain,True,False,True,True
2024-01-27 18:02:20.918697,Karnataka,19.37,30.97,24.52,20.42,72,1006.83,0.82,5.06,2.22,2.38,50,59,Clouds,clear sky,True,False,True,True
2024-01-28 18:02:20.918697,Karnataka,27.65,12.26,27.29,23.39,38,1032.32,0.1,0.24,5.05,2.45,69,19,Clear,scattered clouds,False,False,False,False
2024-01-29 18:02:20.918697,Karnataka,33.9,28.99,34.16,7.62,49,1020.97,1.31,5.72,6.71,11.96,305,42,Rain,broken clouds,False,False,False,False
2024-01-30 18:02:20.918697,Karnataka,22.17,20.33,43.27,19.26,45,1015.47,0.96,2.48,5.35,19.47,66,2,Rain,thunderstorm,False,False,False,True
2024-01-31 18:02:20.918697,Karnataka,8.31,27.87,25.81,25.2,59,1020.43,0.69,0.1,1.07,1.79,275,33,Rain,few clouds,True,False,True,False
2024-02-01 18:02:20.918697,Karnataka,21.87,20.35,24.28,0.0,50,1011.05,1.8,1.08,5.17,1.47,233,43,Rain,rain,False,False,False,True
2024-02-02 18:02:20.918697,Karnataka,16.96,29.81,34.71,17.35,73,1025.5,0.3,1.1,2.27,16.36,355,77,Clear,broken clouds,True,False,False,True
2024-02-03 18:02:20.918697,Karnataka,9.35,27.6,32.09,13.46,71,1017.23,1.56,14.53,4.49,1.46,161,89,Clear,scattered clouds,True,False,True,True
2024-02-04 18:02:20.918697,Karnataka,18.68,28.33,26.64,16.55,60,1019.61,0.01,2.01,8.18,8.43,44,42,Rain,thunderstorm,True,False,False,False
2024-02-05 18:02:20.918697,Karnataka,24.04,17.47,35.63,9.76,55,1014.69,0.11,0.68,4.6,4.89,137,73,Clear,thunderstorm,False,False,False,True
2024-02-06 18:02:20.918697,Karnataka,35.71,25.85,18.31,8.35,50,992.03,0.21,0.12,3.28,4.9,47,76,Rain,rain,True,False,False,True
2024-02-07 18:02:20.918697,Karnataka,33.93,12.78,31.39,6.35,65,1023.88,0.36,4.75,11.08,2.64,323,41,Clear,light rain,False,False,True,True
2024-02-08 18:02:20.918697,Karnataka,28.65,19.3,31.21,16.67,26,1014.11,1.73,0.14,4.28,3.6,314,40,Rain,few clouds,False,False,False,True
2024-02-09 18:02:20.918697,Karnataka,37.47,8.39,31.71,20.05,58,989.97,0.21,3.46,2.54,7.83,350,34,Rain,light rain,False,False,True,True
2024-02-10 18:02:20.918697,Karnataka,36.46,10.08,35.08,2.69,99,997.4,6.52,1.85,7.65,4.66,348,30,Clouds,few clouds,False,False,False,True
2024-02-11 18:02:20.918697,Karnataka,31.07,22.96,26.06,15.01,64,1010.14,0.55,3.11,1.61,12.92,317,8,Rain,scattered clouds,False,False,False,True
2024-02-12 18:02:20.918697,Karnataka,20.62,20.88,30.98,21.18,45,1025.41,2.46,1.13,5.64,6.43,109,100,Clear,thunderstorm,False,False,False,True
2024-02-13 18:02:20.918697,Karnataka,30.4,22.7,33.84,21.3,47,1013.34,0.24,2.33,8.16,6.65,201,64,Rain,clear sky,True,False,False,True
2024-02-14 18:02:20.918697,Karnataka,8.77,29.97,34.2,10.85,57,1017.19,1.49,0.01,2.41,2.61,203,12,Thunderstorm,broken clouds,False,False,False,False
2024-02-15 18:02:20.918697,Karnataka,32.67,22.71,28.65,18.05,46,1017.54,0.55,1.73,3.04,4.42,306,76,Rain,scattered clouds,False,False,True,False
2024-02-16 18:02:20.918697,Karnataka,26.03,15.1,32.56,5.75,50,1028.03,0.49,1.06,1.11,1.94,148,23,Clouds,rain,False,False,False,False
2024-02-17 18:02:20.918697,Karnataka,32.03,20.83,31.34,22.13,87,1003.66,2.45,2.99,1.31,8.27,250,89,Rain,light rain,False,False,False,True
2024-02-18 18:02:20.918697,Karnataka,23.54,35.07,42.63,22.29,80,1009.19,1.41,0.77,3.03,6.91,299,85,Thunderstorm,clear sky,False,False,False,True
2024-02-19 18:02:20.918697,Karnataka,24.99,19.61,41.76,9.26,45,1010.08,0.22,4.48,1.24,9.43,30,71,Rain,broken clouds,True,True,True,False
2024-02-20 18:02:20.918697,Karnataka,8.65,16.04,13.62,11.57,69,1015.27,0.11,0.48,2.57,2.56,90,100,Rain,scattered clouds,False,True,False,False
2024-02-21 18:02:20.918697,Karnataka,10.89,28.71,37.02,11.5,64,1011.69,2.16,4.27,0.97,2.77,79,44,Rain,thunderstorm,False,False,False,True
2024-02-22 18:02:20.918697,Karnataka,32.62,16.55,27.8,24.58,58,1034.1,0.04,0.03,1.86,5.49,147,35,Thunderstorm,broken clouds,True,False,False,False
2024-02-23 18:02:20.918697,Karnataka,24.67,24.04,28.83,2.73,76,1019.57,6.27,1.94,7.21,8.92,51,29,Clouds,clear sky,False,False,True,False
2024-02-24 18:02:20.918697,Karnataka,17.62,25.21,37.51,12.02,56,996.74,1.42,2.02,3.15,7.68,92,57,Rain,scattered clouds,True,True,True,False
2024-02-25 18:02:20.918697,Karnataka,34.3,29.11,38.67,15.31,68,1019.64,2.62,0.29,2.68,6.56,331,44,Clouds,few clouds,True,False,True,True
2024-02-26 18:02:20.918697,Karnataka,16.97,23.0,27.44,5.33,76,1009.6,0.28,7.47,3.74,20.25,189,30,Clouds,thunderstorm,True,False,True,True
2024-02-27 18:02:20.918697,Karnataka,15.28,23.52,24.12,12.18,52,1012.99,9.03,1.87,8.79,1.71,258,52,Clouds,few clouds,False,False,True,True
2024-02-28 18:02:20.918697,Karnataka,15.25,24.02,43.2,18.64,51,1006.6,4.91,0.52,15.15,7.69,37,47,Thunderstorm,light rain,False,False,False,False
2024-02-29 18:02:20.918697,Karnataka,24.92,17.48,34.87,8.99,60,1016.15,3.44,0.17,1.99,4.44,203,0,Clear,scattered clouds,False,False,False,False
2024-03-01 18:02:20.918697,Karnataka,26.57,22.78,44.67,0.0,71,1017.87,1.28,3.65,1.71,3.81,59,72,Rain,few clouds,True,False,False,False
2024-03-02 18:02:20.918697,Karnataka,25.54,25.81,34.85,21.66,85,1006.27,0.35,3.05,1.58,5.97,130,0,Rain,broken clouds,True,False,True,True
2024-03-03 18:02:20.918697,Karnataka,36.38,27.9,31.33,22.28,74,1001.17,1.34,2.52,2.37,4.74,198,89,Clear,rain,False,True,True,True
2024-03-04 18:02:20.918697,Karnataka,28.73,16.34,31.78,24.69,50,1013.01,0.88,1.77,1.3,7.59,96,0,Clouds,broken clouds,True,False,False,False
2024-03-05 18:02:20.918697,Karnataka,26.97,24.57,29.7,17.53,72,1018.37,3.19,0.01,3.24,2.37,346,72,Thunderstorm,thunderstorm,False,False,False,False
2024-03-06 18:02:20.918697,Karnataka,24.16,13.22,25.03,11.1,42,1011.94,0.27,1.79,8.95,4.9,288,100,Thunderstorm,few clouds,False,True,False,True
2024-03-07 18:02:20.918697,Karnataka,21.27,29.19,33.46,11.21,68,1012.93,1.02,3.9,0.82,7.26,255,19,Thunderstorm,broken clouds,False,False,False,False
2024-03-08 18:02:20.918697,Karnataka,29.7,24.91,45.38,19.34,57,1001.32,4.92,1.63,1.46,12.84,128,100,Thunderstorm,clear sky,True,False,False,False
2024-03-09 18:02:20.918697,Karnataka,31.68,20.44,27.37,10.8,65,1009.9,5.68,3.86,7.43,11.13,205,16,Clouds,broken clouds,False,False,True,True
2024-03-10 18:02:20.918697,Karnataka,32.41,15.84,18.81,23.89,46,1014.48,0.1,4.3,1.51,2.62,253,55,Thunderstorm,light rain,False,False,False,False
2024-03-11 18:02:20.918697,Karnataka,31.46,24.61,30.85,12.82,52,993.51,1.02,1.57,5.76,4.65,111,90,Clear,clear sky,True,False,False,False
2024-03-12 18:02:20.918697,Karnataka,29.39,28.24,36.54,18.16,39,995.95,0.09,0.08,5.71,0.82,207,27,Clouds,few clouds,False,False,False,False
