timestamp,region_name,temperature_current,temperature_min,temperature_max,temperature_growing_degree_days,humidity_relative_humidity,humidity_pressure,precipitation_rain_1h,precipitation_rain_3h,wind_speed,wind_gust,wind_degree,cloud_cover,weather_main,weather_description,extreme_weather_is_rainy,extreme_weather_is_thunderstorm,extreme_weather_is_clear,extreme_weather_is_cloudy
2023-11-13 18:02:20.958475,Madhya Pradesh,31.18,12.61,43.73,16.05,71,1020.32,2.57,0.94,8.38,4.99,131,66,Clouds,clear sky,False,False,False,False
2023-11-14 18:02:20.958475,Madhya Pradesh,23.43,11.52,31.94,27.4,93,1017.4,0.89,2.03,4.23,0.75,77,27,Clouds,rain,True,False,False,False
2023-11-15 18:02:20.958475,Madhya Pradesh,30.13,15.38,30.09,24.11,54,1017.06,0.13,3.51,3.46,0.43,358,0,Thunderstorm,thunderstorm,False,False,False,True
2023-11-16 18:02:20.958475,Madhya Pradesh,18.97,17.77,29.08,15.56,64,999.57,1.44,4.49,2.11,2.87,91,45,Clouds,thunderstorm,True,False,True,False
2023-11-17 18:02:20.958475,Madhya Pradesh,29.32,34.43,21.08,11.61,54,1022.66,1.11,0.27,2.57,5.74,66,54,Thunderstorm,clear sky,False,False,False,True
2023-11-18 18:02:20.958475,Madhya Pradesh,35.55,22.96,44.7,16.31,58,1001.38,8.94,3.18,2.59,3.91,132,55,Rain,light rain,False,True,False,True
2023-11-19 18:02:20.958475,Madhya Pradesh,23.91,24.48,28.13,6.67,98,1009.58,1.17,2.62,2.57,1.61,43,71,Thunderstorm,rain,False,False,False,False
2023-11-20 18:02:20.958475,Madhya Pradesh,29.89,18.24,26.44,20.33,77,1032.73,0.38,1.3,3.4,7.3,224,29,Thunderstorm,few clouds,False,True,True,True
2023-11-21 18:02:20.958475,Madhya Pradesh,13.87,17.56,21.97,6.47,57,1000.3,4.15,0.48,0.52,2.85,94,65,Clear,scattered clouds,True,False,False,False
2023-11-22 18:02:20.958475,Madhya Pradesh,13.81,13.67,28.28,21.21,49,1013.08,0.73,0.96,3.2,3.69,59,68,Clouds,light rain,False,False,False,True
