timestamp,region_name,temperature_current,temperature_min,temperature_max,temperature_growing_degree_days,humidity_relative_humidity,humidity_pressure,precipitation_rain_1h,precipitation_rain_3h,wind_speed,wind_gust,wind_degree,cloud_cover,weather_main,weather_description,extreme_weather_is_rainy,extreme_weather_is_thunderstorm,extreme_weather_is_clear,extreme_weather_is_cloudy
2023-11-13 18:02:20.905573,Maharashtra,21.47,11.45,21.81,5.65,83,1026.45,2.59,2.75,0.51,3.41,175,85,Clouds,thunderstorm,False,False,True,False
2023-11-14 18:02:20.905573,Maharashtra,11.79,4.67,34.64,21.16,50,1021.46,4.44,2.89,3.62,8.87,183,55,Rain,light rain,True,False,False,False
2023-11-15 18:02:20.905573,Maharashtra,20.34,26.43,38.32,7.21,54,1019.22,3.37,0.37,5.55,2.65,85,27,Clear,scattered clouds,False,False,True,True
2023-11-16 18:02:20.905573,Maharashtra,15.12,19.22,36.33,9.51,66,1001.19,1.1,5.33,3.08,4.72,284,82,Clear,thunderstorm,False,False,False,True
2023-11-17 18:02:20.905573,Maharashtra,27.76,23.59,31.67,15.85,66,1001.17,0.29,1.22,12.45,4.13,207,60,Clouds,light rain,False,False,False,False
2023-11-18 18:02:20.905573,Maharashtra,21.71,18.79,25.98,16.88,51,1000.31,3.03,2.82,1.6,3.49,188,59,Rain,light rain,False,False,False,False
2023-11-19 18:02:20.905573,Maharashtra,29.18,14.44,33.45,22.63,70,1013.28,0.84,6.48,0.8,14.98,167,100,Rain,thunderstorm,False,False,True,True
2023-11-20 18:02:20.905573,Maharashtra,23.69,24.39,28.59,8.99,40,1002.34,1.45,1.28,5.62,5.05,33,49,Clear,thunderstorm,False,False,True,False
2023-11-21 18:02:20.905573,Maharashtra,33.94,23.43,25.67,21.04,56,1012.28,0.54,1.59,2.39,11.51,288,35,Clouds,clear sky,False,False,True,False
2023-11-22 18:02:20.905573,Maharashtra,26.71,28.4,37.14,14.56,75,1009.11,2.18,4.02,3.94,3.32,11,76,Clouds,clear sky,False,False,True,True
2023-11-23 18:02:20.905573,Maharashtra,22.35,20.8,33.87,6.29,74,1026.33,2.8,0.77,3.83,8.07,48,66,Rain,clear sky,False,True,True,False
2023-11-24 18:02:20.905573,Maharashtra,31.16,20.49,32.33,23.71,67,1035.53,0.1,0.07,6.94,6.68,145,56,Clear,scattered clouds,False,False,False,False
2023-11-25 18:02:20.905573,Maharashtra,42.08,17.93,32.1,19.29,65,1005.84,0.1,1.56,2.93,2.11,333,57,Clear,broken clouds,True,False,False,False
2023-11-26 18:02:20.905573,Maharashtra,21.47,14.35,27.79,0.85,75,1008.88,0.57,0.56,11.58,3.95,229,85,Clouds,light rain,False,False,True,True
