timestamp,region_name,temperature_current,temperature_min,temperature_max,temperature_growing_degree_days,humidity_relative_humidity,humidity_pressure,precipitation_rain_1h,precipitation_rain_3h,wind_speed,wind_gust,wind_degree,cloud_cover,weather_main,weather_description,extreme_weather_is_rainy,extreme_weather_is_thunderstorm,extreme_weather_is_clear,extreme_weather_is_cloudy
2023-11-13 18:02:20.878947,Punjab,28.35,14.36,28.31,18.34,44,1012.0,0.97,0.01,1.44,4.26,243,31,Thunderstorm,scattered clouds,False,False,False,False
2023-11-14 18:02:20.878947,Punjab,24.24,10.9,32.71,18.54,90,1005.83,0.06,0.14,0.65,1.91,309,79,Clear,broken clouds,False,False,False,True
2023-11-15 18:02:20.878947,Punjab,30.98,16.14,35.74,14.49,62,1010.3,0.59,0.86,1.48,1.14,233,89,Rain,thunderstorm,True,False,True,True
2023-11-16 18:02:20.878947,Punjab,6.62,25.38,29.76,24.11,65,1001.97,0.1,2.13,3.99,3.97,273,58,Clouds,light rain,False,False,False,True
2023-11-17 18:02:20.878947,Punjab,21.11,12.2,32.47,16.22,36,1012.79,2.54,2.96,8.12,8.16,137,34,Thunderstorm,few clouds,False,True,True,False
2023-11-18 18:02:20.878947,Punjab,18.72,31.2,33.8,3.96,63,996.26,0.27,0.46,7.09,7.45,267,35,Thunderstorm,rain,False,False,True,True
2023-11-19 18:02:20.878947,Punjab,23.54,20.63,42.81,15.12,55,1021.15,2.04,1.51,0.71,1.01,355,59,Thunderstorm,clear sky,True,True,False,True
2023-11-20 18:02:20.878947,Punjab,28.38,20.73,27.19,21.08,43,1037.64,1.25,3.67,0.34,3.47,81,62,Clouds,rain,False,False,False,False
2023-11-21 18:02:20.878947,Punjab,22.71,31.07,19.08,7.79,72,1025.41,2.98,1.23,1.03,5.4,322,42,Clouds,thunderstorm,True,False,False,True
2023-11-22 18:02:20.878947,Punjab,20.99,28.1,29.76,28.49,69,1001.54,1.47,0.43,3.34,8.45,187,37,Clear,light rain,False,True,False,False
2023-11-23 18:02:20.878947,Punjab,13.81,29.23,34.71,16.63,58,1002.0,0.57,1.49,8.41,10.07,236,77,Clear,few clouds,False,False,False,False
2023-11-24 18:02:20.878947,Punjab,36.85,18.67,29.36,16.56,75,1015.71,0.78,0.53,8.25,2.26,287,28,Thunderstorm,light rain,True,False,True,False
2023-11-25 18:02:20.878947,Punjab,18.59,25.86,31.95,5.99,42,1020.47,2.21,2.64,3.23,0.5,157,92,Rain,broken clouds,False,False,True,True
2023-11-26 18:02:20.878947,Punjab,9.89,11.38,32.5,15.57,65,993.57,0.13,2.13,1.5,8.13,311,51,Thunderstorm,thunderstorm,False,True,True,True
2023-11-27 18:02:20.878947,Punjab,19.33,9.62,21.94,15.93,54,1007.6,3.53,0.98,5.13,2.64,274,65,Thunderstorm,few clouds,False,False,True,False
2023-11-28 18:02:20.878947,Punjab,33.39,17.82,36.94,16.54,83,1025.14,0.2,2.04,9.54,4.02,241,54,Rain,few clouds,False,False,False,False
2023-11-29 18:02:20.878947,Punjab,25.89,23.62,29.06,12.22,74,1020.74,0.49,0.2,0.56,5.73,204,77,Clear,scattered clouds,False,False,False,True
2023-11-30 18:02:20.878947,Punjab,20.21,26.94,30.79,19.41,63,1009.84,2.12,1.47,11.55,4.52,162,38,Clear,thunderstorm,True,False,True,True
2023-12-01 18:02:20.878947,Punjab,13.34,18.31,46.03,19.59,65,990.96,1.1,0.94,2.85,8.26,107,0,Thunderstorm,rain,False,False,False,True
2023-12-02 18:02:20.878947,Punjab,28.42,16.49,23.07,5.25,63,999.28,0.01,1.57,2.2,0.06,248,12,Clear,light rain,False,False,False,False
2023-12-03 18:02:20.878947,Punjab,35.29,20.89,36.96,19.01,61,1009.75,0.27,2.1,3.19,10.64,193,51,Clouds,broken clouds,False,True,False,True
2023-12-04 18:02:20.878947,Punjab,33.17,12.56,26.08,25.38,79,1014.86,0.83,0.48,11.32,0.67,100,59,Thunderstorm,few clouds,True,False,False,True
2023-12-05 18:02:20.878947,Punjab,21.45,20.05,24.01,22.04,54,1012.15,0.62,1.92,4.76,8.85,123,49,Clouds,light rain,False,False,True,False
2023-12-06 18:02:20.878947,Punjab,32.57,19.27,38.07,20.39,43,1008.95,1.23,2.26,0.56,2.35,272,58,Clear,thunderstorm,False,False,False,False
2023-12-07 18:02:20.878947,Punjab,33.68,26.25,21.25,15.32,69,981.06,2.3,0.86,2.46,12.95,266,60,Rain,broken clouds,False,False,False,False
2023-12-08 18:02:20.878947,Punjab,31.4,29.56,32.44,12.05,42,1003.3,0.25,0.21,0.38,3.85,96,44,Clouds,clear sky,False,False,False,False
2023-12-09 18:02:20.878947,Punjab,27.85,19.85,43.07,2.74,64,1009.17,1.71,1.64,3.25,3.57,171,28,Thunderstorm,scattered clouds,False,False,True,False
2023-12-10 18:02:20.878947,Punjab,20.88,18.58,29.33,9.46,78,1026.4,1.27,1.9,1.29,3.66,336,51,Clear,rain,False,False,True,False
