timestamp,region_name,temperature_current,temperature_min,temperature_max,temperature_growing_degree_days,humidity_relative_humidity,humidity_pressure,precipitation_rain_1h,precipitation_rain_3h,wind_speed,wind_gust,wind_degree,cloud_cover,weather_main,weather_description,extreme_weather_is_rainy,extreme_weather_is_thunderstorm,extreme_weather_is_clear,extreme_weather_is_cloudy
2023-11-13 18:02:20.931788,Tamil Nadu,21.06,15.27,36.27,14.34,66,1002.82,8.83,0.71,9.25,0.48,59,47,Rain,broken clouds,True,False,False,True
2023-11-14 18:02:20.931788,Tamil Nadu,17.11,18.34,30.54,8.71,58,1016.29,2.65,1.57,2.88,1.61,229,100,Thunderstorm,light rain,False,False,True,True
2023-11-15 18:02:20.931788,Tamil Nadu,16.66,25.03,33.14,18.81,51,1015.04,2.22,3.65,0.97,8.84,307,59,Rain,rain,False,False,True,True
2023-11-16 18:02:20.931788,Tamil Nadu,31.8,32.47,30.41,18.89,58,1021.13,0.12,7.12,2.52,3.21,138,82,Clear,thunderstorm,False,False,False,False
2023-11-17 18:02:20.931788,Tamil Nadu,32.95,15.73,34.96,8.47,70,1028.92,0.1,5.39,8.78,4.04,163,86,Clear,few clouds,False,False,False,True
2023-11-18 18:02:20.931788,Tamil Nadu,28.08,37.52,35.12,18.53,55,1010.27,1.89,2.5,9.88,12.27,223,21,Thunderstorm,broken clouds,True,False,False,False
2023-11-19 18:02:20.931788,Tamil Nadu,14.73,17.06,30.43,8.87,56,1025.7,2.88,2.52,1.72,5.02,162,0,Thunderstorm,broken clouds,True,False,False,False
2023-11-20 18:02:20.931788,Tamil Nadu,34.01,22.25,34.59,29.84,71,998.82,2.81,5.99,2.83,9.93,110,1,Rain,broken clouds,False,False,False,False
2023-11-21 18:02:20.931788,Tamil Nadu,30.08,21.75,33.49,9.54,84,1009.49,0.93,0.57,3.73,2.25,24,40,Thunderstorm,few clouds,False,False,False,False
2023-11-22 18:02:20.931788,Tamil Nadu,34.84,23.82,35.97,16.43,57,1019.15,1.5,1.08,24.31,2.73,115,39,Rain,thunderstorm,False,False,True,False
2023-11-23 18:02:20.931788,Tamil Nadu,34.54,12.29,26.94,7.27,61,1024.61,0.16,0.6,1.04,5.74,28,45,Clouds,few clouds,False,False,False,True
2023-11-24 18:02:20.931788,Tamil Nadu,26.46,26.9,41.52,8.53,49,1016.97,0.29,0.72,2.61,12.18,338,35,Clouds,broken clouds,False,False,False,False
2023-11-25 18:02:20.931788,Tamil Nadu,29.17,22.6,35.98,24.18,62,1004.04,1.6,0.2,6.31,1.69,238,76,Rain,rain,True,False,False,False
2023-11-26 18:02:20.931788,Tamil Nadu,13.22,12.17,37.21,5.3,50,1010.47,0.34,1.39,2.55,3.07,10,17,Clouds,rain,False,False,True,True
2023-11-27 18:02:20.931788,Tamil Nadu,6.94,16.54,34.06,16.71,74,1022.14,0.15,2.68,9.08,2.73,150,52,Clear,thunderstorm,False,False,True,True
2023-11-28 18:02:20.931788,Tamil Nadu,16.96,8.05,34.38,16.78,44,1026.4,1.03,4.25,6.27,13.27,253,38,Rain,few clouds,True,False,False,False
2023-11-29 18:02:20.931788,Tamil Nadu,27.84,11.92,26.88,18.17,67,1021.92,0.31,0.2,5.99,2.13,320,19,Clear,broken clouds,False,False,False,True
2023-11-30 18:02:20.931788,Tamil Nadu,7.89,15.21,28.84,13.3,79,1014.13,2.74,3.5,3.58,1.95,19,80,Rain,clear sky,False,False,True,False
2023-12-01 18:02:20.931788,Tamil Nadu,27.72,26.52,26.28,16.91,50,1012.14,0.62,0.05,1.7,7.56,24,59,Clouds,thunderstorm,True,True,True,False
2023-12-02 18:02:20.931788,Tamil Nadu,22.62,11.5,31.77,20.74,67,1012.61,0.96,1.51,0.46,6.77,182,30,Rain,clear sky,True,False,True,False
2023-12-03 18:02:20.931788,Tamil Nadu,26.39,10.56,32.83,25.67,72,1027.11,0.87,3.28,1.68,2.59,82,67,Thunderstorm,thunderstorm,False,False,True,False
2023-12-04 18:02:20.931788,Tamil Nadu,26.44,9.92,34.64,6.52,94,993.32,0.6,0.37,1.75,3.38,269,49,Rain,scattered clouds,False,False,False,True
2023-12-05 18:02:20.931788,Tamil Nadu,19.19,9.85,36.13,28.74,68,1021.39,0.61,1.76,5.01,3.48,226,48,Clouds,light rain,False,True,False,True
2023-12-06 18:02:20.931788,Tamil Nadu,18.68,24.74,32.64,8.21,70,1000.01,0.44,2.31,3.04,3.1,35,23,Rain,few clouds,False,False,False,False
2023-12-07 18:02:20.931788,Tamil Nadu,19.98,20.13,25.2,17.29,29,1020.8,1.59,0.06,8.39,1.14,68,66,Thunderstorm,scattered clouds,False,True,False,True
2023-12-08 18:02:20.931788,Tamil Nadu,5.12,24.91,41.75,20.4,50,1004.42,0.6,1.94,2.97,11.37,269,17,Clouds,light rain,False,True,False,True
2023-12-09 18:02:20.931788,Tamil Nadu,29.44,9.64,35.48,10.84,87,997.72,1.45,0.76,3.28,4.35,286,66,Clouds,thunderstorm,True,False,True,True
2023-12-10 18:02:20.931788,Tamil Nadu,33.04,24.09,22.42,23.65,73,1018.61,0.99,0.14,2.52,1.69,213,81,Thunderstorm,thunderstorm,True,False,False,False
2023-12-11 18:02:20.931788,Tamil Nadu,25.44,19.67,25.27,16.41,80,1003.58,0.94,2.22,1.2,2.43,239,40,Clouds,rain,True,False,True,True
2023-12-12 18:02:20.931788,Tamil Nadu,26.46,12.98,25.05,18.46,65,1025.3,5.11,0.4,1.84,12.4,11,56,Clear,few clouds,False,True,True,True
2023-12-13 18:02:20.931788,Tamil Nadu,35.48,11.14,33.16,22.05,100,1024.14,4.23,1.07,3.02,7.6,97,20,Clear,thunderstorm,True,True,False,False
2023-12-14 18:02:20.931788,Tamil Nadu,17.39,10.37,29.09,26.94,61,1024.31,0.65,1.44,2.14,4.16,64,49,Thunderstorm,few clouds,True,False,True,True
2023-12-15 18:02:20.931788,Tamil Nadu,21.71,16.71,32.74,15.22,97,994.79,0.06,0.69,2.41,8.9,292,82,Clouds,light rain,True,False,False,True
2023-12-16 18:02:20.931788,Tamil Nadu,27.9,23.56,33.6,15.63,70,1010.83,0.17,0.13,0.96,4.1,210,100,Thunderstorm,scattered clouds,False,False,True,True
2023-12-17 18:02:20.931788,Tamil Nadu,34.48,13.79,37.35,23.24,69,1018.58,1.29,0.5,6.1,1.7,71,49,Clear,scattered clouds,False,False,True,True
2023-12-18 18:02:20.931788,Tamil Nadu,31.12,18.75,40.28,4.3,48,1024.4,4.59,2.78,5.8,0.77,330,43,Clouds,thunderstorm,False,False,True,False
2023-12-19 18:02:20.931788,Tamil Nadu,28.2,16.61,30.34,12.48,58,1005.02,3.22,0.36,1.28,2.82,42,25,Thunderstorm,scattered clouds,False,True,False,False
2023-12-20 18:02:20.931788,Tamil Nadu,23.57,21.82,37.07,26.62,63,1014.5,1.45,0.08,1.5,13.69,176,30,Thunderstorm,light rain,False,False,False,False
2023-12-21 18:02:20.931788,Tamil Nadu,19.39,26.16,32.73,34.79,55,1004.04,0.33,0.2,2.66,3.18,67,0,Thunderstorm,few clouds,False,False,False,False
2023-12-22 18:02:20.931788,Tamil Nadu,15.37,13.54,28.58,28.38,65,1004.62,0.42,1.0,4.22,9.49,272,24,Clear,light rain,True,False,True,True
2023-12-23 18:02:20.931788,Tamil Nadu,31.15,7.97,30.49,25.47,45,1030.9,0.23,14.56,3.74,5.79,352,10,Rain,few clouds,False,False,True,True
2023-12-24 18:02:20.931788,Tamil Nadu,18.64,21.05,35.96,13.35,88,1027.53,0.04,1.07,0.98,2.01,299,7,Clouds,scattered clouds,True,False,True,False
2023-12-25 18:02:20.931788,Tamil Nadu,38.52,21.8,40.77,29.33,26,1010.23,1.1,0.01,5.09,3.68,173,81,Thunderstorm,broken clouds,False,False,False,True
2023-12-26 18:02:20.931788,Tamil Nadu,24.62,9.55,32.62,20.65,67,998.92,1.26,0.83,0.57,4.43,231,57,Clear,clear sky,False,True,True,True
2023-12-27 18:02:20.931788,Tamil Nadu,28.25,15.08,38.06,10.28,55,999.26,2.87,0.39,2.96,1.92,337,72,Rain,broken clouds,True,False,False,True
2023-12-28 18:02:20.931788,Tamil Nadu,25.67,18.79,34.2,19.55,82,1029.48,1.26,2.1,2.92,10.93,59,33,Rain,light rain,False,False,False,True
2023-12-29 18:02:20.931788,Tamil Nadu,25.93,2.67,28.41,18.22,87,999.02,1.53,1.82,7.75,5.98,77,81,Clouds,thunderstorm,False,False,False,True
2023-12-30 18:02:20.931788,Tamil Nadu,17.42,5.42,27.12,19.62,69,1011.12,0.88,4.3,1.62,5.87,49,53,Thunderstorm,light rain,False,False,False,False
2023-12-31 18:02:20.931788,Tamil Nadu,39.7,14.41,41.53,23.29,66,1012.22,1.05,2.71,9.19,9.62,283,35,Clear,scattered clouds,False,False,False,False
2024-01-01 18:02:20.931788,Tamil Nadu,22.77,22.39,29.17,25.32,94,1009.81,0.62,3.48,9.05,8.56,48,76,Clear,few clouds,False,False,False,False
2024-01-02 18:02:20.931788,Tamil Nadu,25.75,6.99,25.13,21.29,74,1015.57,0.72,0.5,2.27,11.45,334,78,Thunderstorm,scattered clouds,True,False,True,True
2024-01-03 18:02:20.931788,Tamil Nadu,19.7,25.85,32.92,5.45,67,1028.69,0.16,0.49,1.38,2.49,99,59,Thunderstorm,rain,False,False,True,False
2024-01-04 18:02:20.931788,Tamil Nadu,13.72,23.33,34.34,17.46,55,1016.21,4.37,3.2,3.08,3.22,319,18,Clouds,clear sky,True,False,False,False
2024-01-05 18:02:20.931788,Tamil Nadu,26.24,24.34,43.65,28.42,75,1015.52,1.24,0.69,1.09,4.51,64,37,Clouds,broken clouds,True,False,True,True
2024-01-06 18:02:20.931788,Tamil Nadu,35.52,24.05,32.05,19.76,68,1009.52,0.27,1.1,1.84,0.52,318,58,Clouds,broken clouds,False,False,True,False
2024-01-07 18:02:20.931788,Tamil Nadu,26.41,7.72,31.7,18.06,60,1013.24,3.26,6.95,0.84,8.03,221,24,Rain,rain,True,False,False,False
2024-01-08 18:02:20.931788,Tamil Nadu,15.35,16.14,31.64,31.31,80,1009.52,0.51,0.51,1.51,12.26,326,62,Rain,few clouds,False,False,False,True
2024-01-09 18:02:20.931788,Tamil Nadu,20.3,15.65,27.39,13.85,67,1010.1,2.37,4.58,2.62,13.29,348,48,Clouds,scattered clouds,False,False,False,True
2024-01-10 18:02:20.931788,Tamil Nadu,31.87,20.66,20.5,11.04,63,1002.48,0.95,0.42,4.98,7.52,213,47,Rain,clear sky,False,True,True,False
