timestamp,region_name,temperature_current,temperature_min,temperature_max,temperature_growing_degree_days,humidity_relative_humidity,humidity_pressure,precipitation_rain_1h,precipitation_rain_3h,wind_speed,wind_gust,wind_degree,cloud_cover,weather_main,weather_description,extreme_weather_is_rainy,extreme_weather_is_thunderstorm,extreme_weather_is_clear,extreme_weather_is_cloudy
2023-11-13 18:02:20.946445,West Bengal,31.86,21.44,38.13,1.92,39,1021.76,2.06,2.98,2.61,9.87,312,4,Clear,thunderstorm,False,False,False,True
2023-11-14 18:02:20.946445,West Bengal,14.4,22.3,48.05,19.91,91,997.95,0.11,0.26,2.65,2.81,290,75,Clouds,light rain,False,True,False,True
2023-11-15 18:02:20.946445,West Bengal,29.68,11.99,37.44,9.55,97,1000.54,0.37,1.0,3.06,2.39,216,29,Rain,scattered clouds,False,False,True,True
2023-11-16 18:02:20.946445,West Bengal,30.26,19.37,30.21,23.1,35,1020.84,0.19,1.27,2.35,4.41,126,10,Clouds,rain,False,False,False,False
2023-11-17 18:02:20.946445,West Bengal,40.48,17.15,21.49,11.59,74,1025.68,0.01,3.31,1.78,3.1,57,36,Clouds,clear sky,True,False,False,False
2023-11-18 18:02:20.946445,West Bengal,35.07,23.5,29.24,19.36,68,1011.96,2.69,1.35,2.44,1.76,34,62,Clouds,clear sky,False,False,False,True
2023-11-19 18:02:20.946445,West Bengal,34.96,20.84,31.31,5.7,60,1005.07,0.42,14.56,2.63,2.7,329,35,Thunderstorm,thunderstorm,False,False,True,False
2023-11-20 18:02:20.946445,West Bengal,12.85,21.7,37.63,14.7,74,1028.0,2.51,0.08,0.95,9.74,164,81,Thunderstorm,clear sky,False,False,False,True
2023-11-21 18:02:20.946445,West Bengal,24.84,22.5,36.43,4.72,70,1002.06,0.83,0.2,2.95,9.68,55,13,Thunderstorm,light rain,False,False,False,False
2023-11-22 18:02:20.946445,West Bengal,26.37,21.85,27.94,26.49,52,991.73,1.9,0.84,1.93,3.3,82,51,Thunderstorm,scattered clouds,False,False,False,True
2023-11-23 18:02:20.946445,West Bengal,31.23,16.05,39.69,16.51,69,1024.02,6.55,0.81,3.69,3.42,228,52,Clouds,few clouds,False,False,False,True
2023-11-24 18:02:20.946445,West Bengal,24.0,14.45,29.96,0.0,64,1008.2,0.55,0.18,4.88,2.81,210,43,Clear,thunderstorm,False,True,False,False
2023-11-25 18:02:20.946445,West Bengal,30.93,17.8,27.65,21.74,75,1011.46,0.5,8.24,5.93,7.52,88,79,Clear,few clouds,False,False,True,True
2023-11-26 18:02:20.946445,West Bengal,33.65,27.26,26.49,22.96,52,1014.0,1.06,1.66,1.57,1.47,171,0,Clear,light rain,False,False,True,False
2023-11-27 18:02:20.946445,West Bengal,14.79,22.22,28.46,31.68,96,1010.39,0.41,0.03,2.94,3.21,239,25,Rain,light rain,False,False,True,False
2023-11-28 18:02:20.946445,West Bengal,20.74,24.49,25.78,13.15,42,1000.11,0.14,7.99,2.96,3.98,84,28,Clouds,rain,True,False,False,True
2023-11-29 18:02:20.946445,West Bengal,28.46,31.55,41.4,13.32,53,1026.12,3.63,0.29,3.81,1.09,218,35,Clear,rain,False,False,True,False
2023-11-30 18:02:20.946445,West Bengal,2.74,30.21,30.03,11.92,45,1014.1,0.23,0.35,7.28,11.37,184,0,Clouds,thunderstorm,False,False,True,False
2023-12-01 18:02:20.946445,West Bengal,15.79,11.27,34.57,21.85,79,1021.6,1.46,1.75,0.56,5.35,171,47,Clouds,scattered clouds,False,False,False,False
2023-12-02 18:02:20.946445,West Bengal,21.28,19.26,36.16,25.14,76,1006.74,0.58,1.8,4.9,1.42,59,57,Rain,few clouds,False,False,False,False
2023-12-03 18:02:20.946445,West Bengal,30.13,18.68,18.46,8.32,70,1033.11,1.31,0.74,5.11,3.46,233,100,Rain,clear sky,False,False,False,False
2023-12-04 18:02:20.946445,West Bengal,17.07,11.48,47.24,6.6,64,1008.0,0.45,2.07,1.43,2.23,45,44,Thunderstorm,broken clouds,False,False,False,False
2023-12-05 18:02:20.946445,West Bengal,26.52,25.02,35.93,16.22,61,1012.24,0.39,0.17,2.85,7.38,198,32,Clouds,thunderstorm,False,False,False,True
2023-12-06 18:02:20.946445,West Bengal,35.02,21.26,30.21,7.36,91,1027.76,0.5,0.37,2.49,5.1,160,42,Clear,thunderstorm,False,False,True,False
2023-12-07 18:02:20.946445,West Bengal,41.13,24.11,26.6,7.14,71,1008.61,1.2,3.26,1.72,9.89,238,64,Thunderstorm,broken clouds,False,True,False,False
2023-12-08 18:02:20.946445,West Bengal,22.86,22.67,24.94,19.89,65,1027.24,0.02,7.04,1.88,4.91,17,56,Clouds,scattered clouds,False,False,True,True
2023-12-09 18:02:20.946445,West Bengal,25.56,24.36,28.05,0.25,60,1009.84,1.79,3.94,4.0,2.86,257,66,Thunderstorm,scattered clouds,False,False,False,True
2023-12-10 18:02:20.946445,West Bengal,28.33,24.03,27.08,20.55,73,1001.16,0.14,1.75,4.74,6.73,80,55,Rain,light rain,False,False,True,True
2023-12-11 18:02:20.946445,West Bengal,21.84,10.72,39.29,10.29,45,1019.69,2.0,0.2,0.95,4.17,143,99,Clear,few clouds,True,False,False,True
2023-12-12 18:02:20.946445,West Bengal,17.68,20.88,36.64,12.42,63,1003.12,0.99,0.17,3.39,8.0,347,56,Clear,light rain,False,False,True,False
