name,slug,city,district,state,markets,commodities,url,latitude,longitude
Mandsaur,mandsaur,Mandsaur,,Madhya Pradesh,"


Piplya, 


Shamgarh, 


Suvasra, 


Mandsaur, 


Sitmau, 


Daloda",,https://www.kisaanhelpline.com/mandi-list/mandsaur,24.262815,75.385692
Ujjain,ujjain,Ujjain,,Madhya Pradesh,"


Unhel, 


Mahidpur, 


Tarana, 


Badnagar, 


Nagda, 


Khachrod, 


Ujjain",,https://www.kisaanhelpline.com/mandi-list/ujjain,23.188513,75.771656
Udaipur,udaipur,Udaipur,,Rajasthan,"


Fatehnagar",,https://www.kisaanhelpline.com/mandi-list/udaipur,24.578721,73.686257
Neemuch,neemuch,Neemuch,,Madhya Pradesh,"


Neemuch, 


Manasa",,https://www.kisaanhelpline.com/mandi-list/neemuch,24.630552,75.1829
Daloda,daloda,Daloda,,,,,https://www.kisaanhelpline.com/mandi-list/daloda,,
Beohari,beohari,Beohari,,,,,https://www.kisaanhelpline.com/mandi-list/beohari,,
Dhar,dhar,Dhar,,Madhya Pradesh,"


Rajgarh, 


Kukshi, 


Manawar, 


Gandhwani, 


Badnawar, 


Dhamnod, 


Dhar",,https://www.kisaanhelpline.com/mandi-list/dhar,22.578657,75.225864
Ratlam,ratlam,Ratlam,,Madhya Pradesh,"


A lot, 


Sailana, 


Jaora, 


Taal, 


Ratlam",,https://www.kisaanhelpline.com/mandi-list/ratlam,23.50222,74.955153
Sailana,sailana,Sailana,,,,,https://www.kisaanhelpline.com/mandi-list/sailana,,
Jaora,jaora,Jaora,,,,,https://www.kisaanhelpline.com/mandi-list/jaora,,
Indore,indore,Indore,,Madhya Pradesh,"


Sanwer, 


Gautampura, 


Indore, 


Mhow",,https://www.kisaanhelpline.com/mandi-list/indore,22.720362,75.8682
Khargone,khargone,Khargone,,Madhya Pradesh,"


Bedia, 


Kasrawad, 


Badwaha, 


Karhi, 


Bhikangaon, 


Khargone, 


Sanawad",,https://www.kisaanhelpline.com/mandi-list/khargone,21.954473,75.752125
Khachrod,khachrod,Khachrod,,,,,https://www.kisaanhelpline.com/mandi-list/khachrod,,
Azadpur,azadpur,Azadpur,,,,,https://www.kisaanhelpline.com/mandi-list/azadpur,,
Shajapur,shajapur,Shajapur,,Madhya Pradesh,"


Nalkehda, 


Shujalpur, 


Kalapipal, 


Agar, 


Shajapur",,https://www.kisaanhelpline.com/mandi-list/shajapur,23.4171,76.607479
