name,slug,city,district,state,markets,commodities,url,latitude,longitude
Mandsaur,mandsaur,Mandsaur,Mandsaur,Madhya Pradesh,Mandsaur APMC,Wheat Garlic Soybean,https://www.kisaanhelpline.com/mandi-list/mandsaur,24.0713,75.0662
Ujjain,ujjain,Ujjain,Ujjain,Madhya Pradesh,Ujjain APMC,Wheat Soybean Chana,https://www.kisaanhelpline.com/mandi-list/ujjain,23.1765,75.7885
Indore,indore,Indore,Indore,Madhya Pradesh,Indore APMC,Wheat Soybean Cotton,https://www.kisaanhelpline.com/mandi-list/indore,22.7196,75.8577
Bhopal,bhopal,Bhopal,Bhopal,Madhya Pradesh,Bhopal APMC,Wheat Gram Soybean,https://www.kisaanhelpline.com/mandi-list/bhopal,23.2599,77.4126
Jabalpur,jabalpur,Jabalpur,Jabalpur,Madhya Pradesh,Jabalpur APMC,Wheat Rice Pulses,https://www.kisaanhelpline.com/mandi-list/jabalpur,23.1815,79.9864
Gwalior,gwalior,Gwalior,Gwalior,Madhya Pradesh,Gwalior APMC,Wheat Mustard,https://www.kisaanhelpline.com/mandi-list/gwalior,26.2183,78.1828
Ratlam,ratlam,Ratlam,Ratlam,Madhya Pradesh,Ratlam APMC,Wheat Garlic Soybean,https://www.kisaanhelpline.com/mandi-list/ratlam,23.33,75.04
Dewas,dewas,Dewas,Dewas,Madhya Pradesh,Dewas APMC,Wheat Soybean,https://www.kisaanhelpline.com/mandi-list/dewas,22.9623,76.0508
Sagar,sagar,Sagar,Sagar,Madhya Pradesh,Sagar APMC,Wheat Gram,https://www.kisaanhelpline.com/mandi-list/sagar,23.8388,78.7378
Neemuch,neemuch,Neemuch,Neemuch,Madhya Pradesh,Neemuch APMC,Garlic Coriander,https://www.kisaanhelpline.com/mandi-list/neemuch,24.4672,74.87
Khandwa,khandwa,Khandwa,Khandwa,Madhya Pradesh,Khandwa APMC,Cotton Soybean,https://www.kisaanhelpline.com/mandi-list/khandwa,21.83,76.37
Chhindwara,chhindwara,Chhindwara,Chhindwara,Madhya Pradesh,Chhindwara APMC,Wheat Maize,https://www.kisaanhelpline.com/mandi-list/chhindwara,22.0574,78.9382
Khargone,khargone,Khargone,Khargone,Madhya Pradesh,Khargone APMC,Cotton Wheat,https://www.kisaanhelpline.com/mandi-list/khargone,21.82,75.61
Betul,betul,Betul,Betul,Madhya Pradesh,Betul APMC,Wheat Soybean,https://www.kisaanhelpline.com/mandi-list/betul,21.91,77.9
Harda,harda,Harda,Harda,Madhya Pradesh,Harda APMC,Wheat Soybean,https://www.kisaanhelpline.com/mandi-list/harda,22.3443,77.0917
Shajapur,shajapur,Shajapur,Shajapur,Madhya Pradesh,Shajapur APMC,Wheat Soybean,https://www.kisaanhelpline.com/mandi-list/shajapur,23.4256,76.2693
Dhar,dhar,Dhar,Dhar,Madhya Pradesh,Dhar APMC,Wheat Cotton,https://www.kisaanhelpline.com/mandi-list/dhar,22.5972,75.2922
Burhanpur,burhanpur,Burhanpur,Burhanpur,Madhya Pradesh,Burhanpur APMC,Cotton Banana,https://www.kisaanhelpline.com/mandi-list/burhanpur,21.3,76.23
Damoh,damoh,Damoh,Damoh,Madhya Pradesh,Damoh APMC,Wheat Gram,https://www.kisaanhelpline.com/mandi-list/damoh,23.8333,79.45
Narsinghpur,narsinghpur,Narsinghpur,Narsinghpur,Madhya Pradesh,Narsinghpur APMC,Wheat Gram,https://www.kisaanhelpline.com/mandi-list/narsinghpur,22.95,79.2
Hoshangabad,hoshangabad,Hoshangabad,Hoshangabad,Madhya Pradesh,Hoshangabad APMC,Wheat Soybean,https://www.kisaanhelpline.com/mandi-list/hoshangabad,22.7547,77.734
Raisen,raisen,Raisen,Raisen,Madhya Pradesh,Raisen APMC,Wheat Gram,https://www.kisaanhelpline.com/mandi-list/raisen,23.3333,77.8
Tikamgarh,tikamgarh,Tikamgarh,Tikamgarh,Madhya Pradesh,Tikamgarh APMC,Wheat Mustard,https://www.kisaanhelpline.com/mandi-list/tikamgarh,24.75,78.83
Shivpuri,shivpuri,Shivpuri,Shivpuri,Madhya Pradesh,Shivpuri APMC,Wheat Mustard,https://www.kisaanhelpline.com/mandi-list/shivpuri,25.4333,77.65
Sidhi,sidhi,Sidhi,Sidhi,Madhya Pradesh,Sidhi APMC,Rice Wheat,https://www.kisaanhelpline.com/mandi-list/sidhi,24.4167,81.8833
Dindori,dindori,Dindori,Dindori,Madhya Pradesh,Dindori APMC,Wheat Maize,https://www.kisaanhelpline.com/mandi-list/dindori,22.95,81.0667
Katni,katni,Katni,Katni,Madhya Pradesh,Katni APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/katni,23.83,80.39
Daloda,daloda,Daloda,Mandsaur,Madhya Pradesh,Daloda APMC,Wheat Garlic,https://www.kisaanhelpline.com/mandi-list/daloda,23.95,75.05
Sailana,sailana,Sailana,Ratlam,Madhya Pradesh,Sailana APMC,Wheat Soybean,https://www.kisaanhelpline.com/mandi-list/sailana,23.46,74.92
Jaora,jaora,Jaora,Ratlam,Madhya Pradesh,Jaora APMC,Wheat Garlic,https://www.kisaanhelpline.com/mandi-list/jaora,23.63,75.12
Khachrod,khachrod,Khachrod,Ujjain,Madhya Pradesh,Khachrod APMC,Wheat Soybean,https://www.kisaanhelpline.com/mandi-list/khachrod,23.42,75.27
Agra,agra,Agra,Agra,Uttar Pradesh,Agra APMC,Wheat Potato Mustard,https://www.kisaanhelpline.com/mandi-list/agra,27.1767,78.0081
Lucknow,lucknow,Lucknow,Lucknow,Uttar Pradesh,Lucknow APMC,Wheat Rice Vegetables,https://www.kisaanhelpline.com/mandi-list/lucknow,26.8467,80.9462
Kanpur,kanpur,Kanpur,Kanpur,Uttar Pradesh,Kanpur APMC,Wheat Pulses,https://www.kisaanhelpline.com/mandi-list/kanpur,26.4499,80.3319
Varanasi,varanasi,Varanasi,Varanasi,Uttar Pradesh,Varanasi APMC,Rice Wheat Vegetables,https://www.kisaanhelpline.com/mandi-list/varanasi,25.3176,82.9739
Prayagraj,prayagraj,Prayagraj,Prayagraj,Uttar Pradesh,Prayagraj APMC,Wheat Potato,https://www.kisaanhelpline.com/mandi-list/prayagraj,25.4358,81.8463
Meerut,meerut,Meerut,Meerut,Uttar Pradesh,Meerut APMC,Wheat Sugarcane Vegetables,https://www.kisaanhelpline.com/mandi-list/meerut,28.9845,77.7064
Mathura,mathura,Mathura,Mathura,Uttar Pradesh,Mathura APMC,Wheat Potato,https://www.kisaanhelpline.com/mandi-list/mathura,27.4924,77.6737
Bareilly,bareilly,Bareilly,Bareilly,Uttar Pradesh,Bareilly APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/bareilly,28.367,79.4304
Gorakhpur,gorakhpur,Gorakhpur,Gorakhpur,Uttar Pradesh,Gorakhpur APMC,Rice Wheat,https://www.kisaanhelpline.com/mandi-list/gorakhpur,26.7606,83.3732
Moradabad,moradabad,Moradabad,Moradabad,Uttar Pradesh,Moradabad APMC,Wheat Sugarcane,https://www.kisaanhelpline.com/mandi-list/moradabad,28.8389,78.7769
Aligarh,aligarh,Aligarh,Aligarh,Uttar Pradesh,Aligarh APMC,Wheat Potato,https://www.kisaanhelpline.com/mandi-list/aligarh,27.88,78.08
Jhansi,jhansi,Jhansi,Jhansi,Uttar Pradesh,Jhansi APMC,Wheat Gram Pulses,https://www.kisaanhelpline.com/mandi-list/jhansi,25.4484,78.5685
Firozabad,firozabad,Firozabad,Firozabad,Uttar Pradesh,Firozabad APMC,Wheat Potato,https://www.kisaanhelpline.com/mandi-list/firozabad,27.15,78.39
Etawah,etawah,Etawah,Etawah,Uttar Pradesh,Etawah APMC,Wheat Mustard,https://www.kisaanhelpline.com/mandi-list/etawah,26.7833,79.0167
Mainpuri,mainpuri,Mainpuri,Mainpuri,Uttar Pradesh,Mainpuri APMC,Wheat Potato,https://www.kisaanhelpline.com/mandi-list/mainpuri,27.23,79.02
Shahjahanpur,shahjahanpur,Shahjahanpur,Shahjahanpur,Uttar Pradesh,Shahjahanpur APMC,Wheat Rice,https://www.kisaanhelpline.com/mandi-list/shahjahanpur,27.88,79.91
Muzaffarnagar,muzaffarnagar,Muzaffarnagar,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar APMC,Wheat Sugarcane,https://www.kisaanhelpline.com/mandi-list/muzaffarnagar,29.47,77.7
Saharanpur,saharanpur,Saharanpur,Saharanpur,Uttar Pradesh,Saharanpur APMC,Wheat Rice Sugarcane,https://www.kisaanhelpline.com/mandi-list/saharanpur,29.968,77.551
